ID,Name,Localized Name,Temperature,Luminosity,Density,Viscosity,Placeable,Block ID,Block Class
80,meatextract,肉类提取物,300,0,1000,1000,false,null,null
81,unknownnutrientagar,未知营养琼脂,300,0,1000,1000,false,null,null
82,seaweedbroth,海藻基质,300,0,1000,1000,false,null,null
83,concrete,混凝土,300,0,1000,1000,true,dreamcraft:dreamcraft_Concrete,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
84,fluidmilk,牛奶,300,0,1000,1050,true,Automagy:blockFluidMilk,tuhljin.automagy.blocks.fluid.BlockFluidMilk
85,fluidmushroom,蘑菇汤,300,0,1000,1500,true,Automagy:blockFluidMushroom,tuhljin.automagy.blocks.fluid.BlockFluidMushroom
86,fluidvishroom,毒菇汤,300,8,1000,1500,true,Automagy:blockFluidVishroom,tuhljin.automagy.blocks.fluid.BlockFluidVishroom
87,lifeessence,Life Essence,295,0,2000,2000,true,AWWayofTime:lifeEssence,WayofTime.alchemicalWizardry.common.block.LifeEssenceBlock
88,acid,酸,300,0,1000,1000,false,null,null
89,sap,树液,300,0,1000,1000,false,null,null
90,resin,树脂,300,0,1000,1000,false,null,null
91,latex,乳胶,300,0,1000,1000,false,null,null
92,turpentine,松节油,300,0,1000,1000,false,null,null
93,binnie.growthmedium,培养基,300,0,1000,1000,false,null,null
94,binnie.bacteria,细菌,300,0,1000,1000,false,null,null
95,binnie.bacteriapoly,聚合菌,300,0,1000,1000,false,null,null
96,binnie.dna.raw,原生 DNA,300,0,1000,1000,false,null,null
97,binnie.bacteriavector,细菌质粒,300,0,1000,1000,false,null,null
98,witchery:fluidspirit,精神,300,0,500,2000,true,witchery:spiritflowing,com.emoniph.witchery.blocks.BlockFlowingSpirit
99,witchery:hollowtears,虚伪泪水,300,0,100,1500,true,witchery:hollowtears,com.emoniph.witchery.blocks.BlockFlowingSpirit
100,witchery:brew,酿造,300,0,100,1500,true,witchery:brew,com.emoniph.witchery.brewing.BlockBrew
101,witchery:brewgas,气态酿造,300,0,1000,1000,false,null,null
102,witchery:brewliquid,液态酿造,300,0,1000,1000,true,witchery:brewliquid,com.emoniph.witchery.brewing.BlockBrewLiquidEffect
103,witchery:fluiddisease,液态瘟疫,300,0,50,3000,true,witchery:disease,com.emoniph.witchery.blocks.BlockDisease
104,mutagen,诱变剂,295,0,1000,1000,true,gendustry:fluid.Mutagen,net.bdew.gendustry.fluids.BlockFluid
105,liquiddna,液态DNA,295,0,1000,1000,true,gendustry:fluid.LiquidDNA,net.bdew.gendustry.fluids.BlockFluid
106,protein,蛋白质,295,0,1000,1000,true,gendustry:fluid.Protein,net.bdew.gendustry.fluids.BlockFluid
107,air,空气,295,0,-100,200,false,null,null
108,liquidoxygen,液氧,60,0,-100,200,false,null,null
109,liquidnitrogen,液氮,77,0,-100,200,false,null,null
110,liquidair,液态空气,77,0,1000,1000,false,null,null
111,oxygen,氧,295,0,-100,200,false,null,null
112,hydrogen,氢,295,0,-100,200,false,null,null
113,deuterium,氘,295,0,-100,200,false,null,null
114,tritium,氚,295,0,-100,200,false,null,null
115,helium,氦,295,0,-100,200,false,null,null
116,argon,氩,295,0,-100,200,false,null,null
117,radon,氡,295,0,-100,200,false,null,null
118,fluorine,氟,53,0,-100,200,false,null,null
119,titaniumtetrachloride,四氯化钛,295,0,1000,1000,false,null,null
120,helium-3,氦-3,295,0,-100,200,false,null,null
121,methane,甲烷,295,0,-100,200,false,null,null
122,nitrogen,氮,295,0,-100,200,false,null,null
123,nitrogendioxide,二氧化氮,295,0,-100,200,false,null,null
124,liquid_extra_heavy_oil,极重油,295,0,1000,1000,false,null,null
125,liquid_epichlorhydrin,环氧氯丙烷,295,0,1000,1000,false,null,null
126,liquid_drillingfluid,钻井液,295,0,1000,1000,false,null,null
127,liquid_toluene,甲苯,295,0,1000,1000,false,null,null
128,liquid_nitrationmixture,硝酸混酸,295,0,1000,1000,false,null,null
129,liquid_heavy_oil,重油,295,0,1000,1000,false,null,null
130,liquid_medium_oil,原油,295,0,1000,1000,false,null,null
131,liquid_light_oil,轻油,295,0,1000,1000,false,null,null
132,gas_natural_gas,天然气,295,0,-100,200,false,null,null
133,liquid_hydricsulfur,硫化氢,295,0,-100,200,false,null,null
134,gas_sulfuricgas,含硫炼油气,295,0,-100,200,false,null,null
135,gas_gas,炼油气,295,0,-100,200,false,null,null
136,liquid_sulfuricnaphtha,含硫石脑油,295,0,1000,1000,false,null,null
137,liquid_sufluriclight_fuel,含硫轻燃油,295,0,1000,1000,false,null,null
138,liquid_sulfuricheavy_fuel,含硫重燃油,295,0,1000,1000,false,null,null
139,liquid_naphtha,石脑油,295,0,1000,1000,false,null,null
140,liquid_light_fuel,轻燃油,295,0,1000,1000,false,null,null
141,liquid_heavy_fuel,重燃油,295,0,1000,1000,false,null,null
142,liquid_lpg,液化石油气,295,0,1000,1000,false,null,null
143,charcoal_byproducts,木炭副产,775,0,-100,200,false,null,null
144,molten.bisphenol_a,熔融双酚A,432,0,1000,1000,false,null,null
145,uuamplifier,UU增幅液体,295,0,1000,1000,false,null,null
146,chlorine,氯,295,0,-100,200,false,null,null
147,mercury,汞,295,0,1000,1000,false,null,null
148,nitrofuel,高十六烷值柴油,295,0,1000,1000,false,null,null
149,sodiumpersulfate,过硫酸钠,295,0,1000,1000,false,null,null
150,glyceryl,硝化甘油,295,0,1000,1000,false,null,null
151,lubricant,润滑油,295,0,1000,1000,false,null,null
152,fishoil,鱼油,295,0,1000,1000,false,null,null
153,sulfuricacid,硫酸,295,0,1000,1000,false,null,null
154,mcguffium,麦高芬239,295,0,1000,1000,false,null,null
155,refinedglue,精制胶水,295,0,1000,1000,false,null,null
156,hotfryingoil,热煎炸油,400,0,1000,1000,false,null,null
157,sodiumpotassium,钠钾合金,295,0,1000,1000,false,null,null
158,pollution,污染,295,0,1000,1000,false,null,null
159,enrichedbacterialsludge,富集菌泥,300,15,1000,1000,false,null,null
160,fermentedbacterialsludge,发酵菌泥,300,8,1000,1000,false,null,null
161,dimensionallytranscendentresidue,超维度残留,2000000000,0,1000,1000,false,null,null
162,exciteddtcc,激发的粗制超维度催化剂,500000000,0,1000,1000,false,null,null
163,exciteddtpc,激发的平凡超维度催化剂,500000000,0,1000,1000,false,null,null
164,exciteddtrc,激发的光辉超维度催化剂,500000000,0,1000,1000,false,null,null
165,exciteddtec,激发的异星超维度催化剂,500000000,0,1000,1000,false,null,null
166,exciteddtsc,激发的恒星超维度催化剂,500000000,0,1000,1000,false,null,null
167,rawstarmatter,浓缩原始恒星等离子体混合物,10000000,0,1000,1000,false,null,null
168,spatialfluid,扩大化空间流体,0,0,1000,1000,false,null,null
169,temporalfluid,富快子时间流体,0,0,1000,1000,false,null,null
170,primordialmatter,流体本源物质,2000000000,0,1000,1000,false,null,null
171,quarkgluonplasma,简并夸克胶子等离子体,2000000000,0,1000,1000,false,null,null
172,phononmedium,无损声子传输介质,500,0,1000,1000,false,null,null
173,phononcrystalsolution,饱和声子晶体溶液,500,0,1000,1000,false,null,null
174,antimatter,半稳定反物质,1000000,0,1000,1000,false,null,null
175,protomatter,元始物质,1,0,1000,1000,false,null,null
176,plasma.infinity,无尽等离子体,10000,15,55536,10,false,null,null
177,plasma.bedrockium,基岩等离子体,10000,15,55536,10,false,null,null
178,plasma.cosmicneutronium,宇宙中子态素等离子体,10000,15,55536,10,false,null,null
179,molten.cosmicneutronium,熔融宇宙中子态素,9900,15,1000,1000,false,null,null
180,plasma.ichorium,灵宝等离子体,9000,15,55536,10,false,null,null
181,molten.ichorium,熔融灵宝,9000,15,1000,1000,false,null,null
182,inactivecosmicsolder,惰性寰宇焊料,1000000,0,1000,1000,false,null,null
183,boundlesscosmicsolder,无界寰宇焊料,1000000,0,1000,1000,false,null,null
184,computationbase,算力基底,100000000,15,1000,1000,false,null,null
185,fieryblood,炽热的血液,6400,0,1000,1000,false,null,null
186,holywater,圣水,295,0,1000,1000,false,null,null
187,squidink,墨水,295,0,1000,1000,false,null,null
188,indigo,靛蓝染料,295,0,1000,1000,false,null,null
189,dye.watermixed.dyeblack,水溶黑色染料,295,0,1000,1000,false,null,null
190,dye.chemical.dyeblack,黑色化学染料,295,0,1000,1000,false,null,null
191,dye.watermixed.dyered,水溶红色染料,295,0,1000,1000,false,null,null
192,dye.chemical.dyered,红色化学染料,295,0,1000,1000,false,null,null
193,dye.watermixed.dyegreen,水溶绿色染料,295,0,1000,1000,false,null,null
194,dye.chemical.dyegreen,绿色化学染料,295,0,1000,1000,false,null,null
195,dye.watermixed.dyebrown,水溶棕色染料,295,0,1000,1000,false,null,null
196,dye.chemical.dyebrown,棕色化学染料,295,0,1000,1000,false,null,null
197,dye.watermixed.dyeblue,水溶蓝色染料,295,0,1000,1000,false,null,null
198,dye.chemical.dyeblue,蓝色化学染料,295,0,1000,1000,false,null,null
199,dye.watermixed.dyepurple,水溶紫色染料,295,0,1000,1000,false,null,null
200,dye.chemical.dyepurple,紫色化学染料,295,0,1000,1000,false,null,null
201,dye.watermixed.dyecyan,水溶青色染料,295,0,1000,1000,false,null,null
202,dye.chemical.dyecyan,青色化学染料,295,0,1000,1000,false,null,null
203,dye.watermixed.dyelightgray,水溶淡灰色染料,295,0,1000,1000,false,null,null
204,dye.chemical.dyelightgray,淡灰色化学染料,295,0,1000,1000,false,null,null
205,dye.watermixed.dyegray,水溶灰色染料,295,0,1000,1000,false,null,null
206,dye.chemical.dyegray,灰色化学染料,295,0,1000,1000,false,null,null
207,dye.watermixed.dyepink,水溶粉色染料,295,0,1000,1000,false,null,null
208,dye.chemical.dyepink,粉色化学染料,295,0,1000,1000,false,null,null
209,dye.watermixed.dyelime,水溶黄绿色染料,295,0,1000,1000,false,null,null
210,dye.chemical.dyelime,黄绿色化学染料,295,0,1000,1000,false,null,null
211,dye.watermixed.dyeyellow,水溶黄色染料,295,0,1000,1000,false,null,null
212,dye.chemical.dyeyellow,黄色化学染料,295,0,1000,1000,false,null,null
213,dye.watermixed.dyelightblue,水溶淡蓝色染料,295,0,1000,1000,false,null,null
214,dye.chemical.dyelightblue,淡蓝色化学染料,295,0,1000,1000,false,null,null
215,dye.watermixed.dyemagenta,水溶品红色染料,295,0,1000,1000,false,null,null
216,dye.chemical.dyemagenta,品红色化学染料,295,0,1000,1000,false,null,null
217,dye.watermixed.dyeorange,水溶橙色染料,295,0,1000,1000,false,null,null
218,dye.chemical.dyeorange,橙色化学染料,295,0,1000,1000,false,null,null
219,dye.watermixed.dyewhite,水溶白色染料,295,0,1000,1000,false,null,null
220,dye.chemical.dyewhite,白色化学染料,295,0,1000,1000,false,null,null
221,molten.glass,熔融玻璃,1500,3,1000,1000,false,null,null
222,molten.redstone,熔融红石,500,0,1000,1000,false,null,null
223,molten.blaze,熔融烈焰,6400,15,1000,1000,false,null,null
224,wet.concrete,湿混凝土,300,0,1000,1000,false,null,null
225,molten.granitered,熔融红花岗岩,1520,3,1000,1000,false,null,null
226,molten.graniteblack,熔融黑花岗岩,1520,3,1000,1000,false,null,null
227,activatednetherite,活性下界合金,50000000,15,1000,1000,false,null,null
228,carbondioxide,二氧化碳,295,0,-100,200,false,null,null
229,ammonia,氨,295,0,-100,200,false,null,null
230,molten.aluminium,熔融铝,933,0,1000,1000,false,null,null
231,plasma.aluminium,铝等离子体,10000,15,55536,10,false,null,null
232,molten.americium,熔融镅,1449,3,1000,1000,false,null,null
233,plasma.americium,镅等离子体,10000,15,55536,10,false,null,null
234,molten.antimony,熔融锑,903,0,1000,1000,false,null,null
235,plasma.antimony,锑等离子体,10000,15,55536,10,false,null,null
236,plasma.argon,氩等离子体,10000,15,55536,10,false,null,null
237,molten.arsenic,熔融砷,1090,1,1000,1000,false,null,null
238,plasma.arsenic,砷等离子体,10000,15,55536,10,false,null,null
239,molten.barium,熔融钡,1000,1,1000,1000,false,null,null
240,plasma.barium,钡等离子体,10000,15,55536,10,false,null,null
241,molten.beryllium,熔融铍,1560,4,1000,1000,false,null,null
242,plasma.beryllium,铍等离子体,10000,15,55536,10,false,null,null
243,molten.bismuth,熔融铋,544,0,1000,1000,false,null,null
244,plasma.bismuth,铋等离子体,10000,15,55536,10,false,null,null
245,molten.boron,熔融硼,2349,8,1000,1000,false,null,null
246,plasma.boron,硼等离子体,10000,15,55536,10,false,null,null
247,molten.caesium,熔融铯,301,0,1000,1000,false,null,null
248,plasma.caesium,铯等离子体,10000,15,55536,10,false,null,null
249,plasma.calcium,钙等离子体,10000,15,55536,10,false,null,null
250,plasma.carbon,碳等离子体,10000,15,55536,10,false,null,null
251,plasma.cadmium,镉等离子体,10000,15,55536,10,false,null,null
252,molten.cerium,熔融铈,1068,1,1000,1000,false,null,null
253,plasma.cerium,铈等离子体,10000,15,55536,10,false,null,null
254,plasma.chlorine,氯等离子体,10000,15,55536,10,false,null,null
255,molten.chrome,熔融铬,2180,7,1000,1000,false,null,null
256,plasma.chrome,铬等离子体,10000,15,55536,10,false,null,null
257,molten.cobalt,熔融钴,1768,5,1000,1000,false,null,null
258,plasma.cobalt,钴等离子体,10000,15,55536,10,false,null,null
259,molten.copper,熔融铜,1357,2,1000,1000,false,null,null
260,plasma.copper,铜等离子体,10000,15,55536,10,false,null,null
261,molten.desh,熔融戴斯,2500,9,1000,1000,false,null,null
262,plasma.desh,戴斯等离子体,10000,15,55536,10,false,null,null
263,molten.dysprosium,熔融镝,1680,4,1000,1000,false,null,null
264,plasma.dysprosium,镝等离子体,10000,15,55536,10,false,null,null
265,plasma.empty,空等离子体,10000,15,55536,10,false,null,null
266,molten.erbium,熔融铒,1802,5,1000,1000,false,null,null
267,plasma.erbium,铒等离子体,10000,15,55536,10,false,null,null
268,molten.europium,熔融铕,1099,1,1000,1000,false,null,null
269,plasma.europium,铕等离子体,10000,15,55536,10,false,null,null
270,molten.flerovium_gt5u,熔融,1000,1,1000,1000,false,null,null
271,plasma.flerovium_gt5u,等离子体,10000,15,55536,10,false,null,null
272,plasma.fluorine,氟等离子体,10000,15,55536,10,false,null,null
273,plasma.francium_gt5u,钫等离子体,10000,15,55536,10,false,null,null
274,molten.gadolinium,熔融钆,1585,4,1000,1000,false,null,null
275,plasma.gadolinium,钆等离子体,10000,15,55536,10,false,null,null
276,molten.gallium,熔融镓,302,0,1000,1000,false,null,null
277,plasma.gallium,镓等离子体,10000,15,55536,10,false,null,null
278,molten.gold,熔融金,1337,2,1000,1000,false,null,null
279,plasma.gold,金等离子体,10000,15,55536,10,false,null,null
280,molten.holmium,熔融钬,1734,5,1000,1000,false,null,null
281,plasma.holmium,钬等离子体,10000,15,55536,10,false,null,null
282,plasma.hydrogen,氢等离子体,10000,15,55536,10,false,null,null
283,plasma.helium,氦等离子体,10000,15,55536,10,false,null,null
284,molten.indium,熔融铟,429,0,1000,1000,false,null,null
285,plasma.indium,铟等离子体,10000,15,55536,10,false,null,null
286,molten.iridium,熔融铱,2719,10,1000,1000,false,null,null
287,plasma.iridium,铱等离子体,10000,15,55536,10,false,null,null
288,molten.iron,熔融铁,1811,5,1000,1000,false,null,null
289,plasma.iron,铁等离子体,10000,15,55536,10,false,null,null
290,molten.lanthanum,熔融镧,1193,2,1000,1000,false,null,null
291,plasma.lanthanum,镧等离子体,10000,15,55536,10,false,null,null
292,molten.lead,熔融铅,600,0,1000,1000,false,null,null
293,plasma.lead,铅等离子体,10000,15,55536,10,false,null,null
294,molten.lithium,熔融锂,454,0,1000,1000,false,null,null
295,plasma.lithium,锂等离子体,10000,15,55536,10,false,null,null
296,molten.lutetium,熔融镥,1925,6,1000,1000,false,null,null
297,plasma.lutetium,镥等离子体,10000,15,55536,10,false,null,null
298,molten.magic,熔融魔力,5000,15,1000,1000,false,null,null
299,plasma.magic,魔力等离子体,10000,15,55536,10,false,null,null
300,molten.magnesium,熔融镁,923,0,1000,1000,false,null,null
301,plasma.magnesium,镁等离子体,10000,15,55536,10,false,null,null
302,molten.manganese,熔融锰,1519,3,1000,1000,false,null,null
303,plasma.manganese,锰等离子体,10000,15,55536,10,false,null,null
304,plasma.mercury,汞等离子体,10000,15,55536,10,false,null,null
305,molten.meteoriciron,熔融陨铁,1811,5,1000,1000,false,null,null
306,plasma.meteoriciron,陨铁等离子体,10000,15,55536,10,false,null,null
307,molten.molybdenum,熔融钼,2896,11,1000,1000,false,null,null
308,plasma.molybdenum,钼等离子体,10000,15,55536,10,false,null,null
309,molten.naquadah,熔融硅岩,5400,15,1000,1000,false,null,null
310,plasma.naquadah,硅岩等离子体,10000,15,55536,10,false,null,null
311,molten.neodymium,熔融钕,1297,2,1000,1000,false,null,null
312,plasma.neodymium,钕等离子体,10000,15,55536,10,false,null,null
313,molten.neutronium,熔融中子,10000,15,1000,1000,false,null,null
314,plasma.neutronium,中子等离子体,10000,15,55536,10,false,null,null
315,molten.nickel,熔融镍,1728,5,1000,1000,false,null,null
316,plasma.nickel,镍等离子体,10000,15,55536,10,false,null,null
317,molten.niobium,熔融铌,2750,10,1000,1000,false,null,null
318,plasma.niobium,铌等离子体,10000,15,55536,10,false,null,null
319,plasma.nitrogen,氮等离子体,10000,15,55536,10,false,null,null
320,plasma.null,NULL等离子体,10000,15,55536,10,false,null,null
321,molten.oriharukon,熔融奥利哈钢,5400,15,1000,1000,false,null,null
322,plasma.oriharukon,奥利哈钢等离子体,10000,15,55536,10,false,null,null
323,molten.osmium,熔融锇,3306,13,1000,1000,false,null,null
324,plasma.osmium,锇等离子体,10000,15,55536,10,false,null,null
325,plasma.oxygen,氧等离子体,10000,15,55536,10,false,null,null
326,molten.palladium,熔融钯,1828,5,1000,1000,false,null,null
327,plasma.palladium,钯等离子体,10000,15,55536,10,false,null,null
328,plasma.phosphorus,磷等离子体,10000,15,55536,10,false,null,null
329,molten.platinum,熔融铂,2041,6,1000,1000,false,null,null
330,plasma.platinum,铂等离子体,10000,15,55536,10,false,null,null
331,molten.plutonium,熔融钚-239,912,0,1000,1000,false,null,null
