id,stackName,className
76,输入总线(LuV),MTEHatchInputBus
77,输入总线(ZPM),MTEHatchInputBus
78,输入总线(UV),MTEHatchInputBus
79,输入总线(UHV),MTEHatchInputBus
80,输出总线(ULV),MTEHatchOutputBus
81,输出总线(LV),MTEHatchOutputBus
82,输出总线(MV),MTEHatchOutputBus
83,输出总线(HV),MTEHatchOutputBus
84,输出总线(EV),MTEHatchOutputBus
85,输出总线(IV),MTEHatchOutputBus
86,输出总线(LuV),MTEHatchOutputBus
87,输出总线(ZPM),MTEHatchOutputBus
88,输出总线(UV),MTEHatchOutputBus
89,输出总线(UHV),MTEHatchOutputBus
90,维护仓,MTEHatchMaintenance
91,消声仓(LV),MTEHatchMuffler
92,消声仓(MV),MTEHatchMuffler
93,消声仓(HV),MTEHatchMuffler
94,消声仓(EV),MTEHatchMuffler
95,消声仓(IV),MTEHatchMuffler
96,消声仓(LuV),MTEHatchMuffler
97,消声仓(ZPM),MTEHatchMuffler
98,消声仓(UV),MTEHatchMuffler
99,消声仓(UHV),MTEHatchMuffler
100,小型燃煤锅炉,MTEBoilerBronze
101,高压燃煤锅炉,MTEBoilerSteel
102,强化岩浆锅炉,MTEBoilerLava
103,蒸汽熔炉,MTESteamFurnaceBronze
104,高压蒸汽熔炉,MTESteamFurnaceSteel
105,简易太阳能锅炉,MTEBoilerSolar
106,蒸汽研磨机,MTESteamMaceratorBronze
107,高压蒸汽研磨机,MTESteamMaceratorSteel
109,蒸汽提取机,MTESteamExtractorBronze
110,高压蒸汽提取机,MTESteamExtractorSteel
111,自动维护仓,MTEHatchMaintenance
112,蒸汽锻造锤,MTESteamForgeHammerBronze
113,高压蒸汽锻造锤,MTESteamForgeHammerSteel
114,高级太阳能锅炉,MTEBoilerSolarSteel
115,蒸汽压缩机,MTESteamCompressorBronze
116,高压蒸汽压缩机,MTESteamCompressorSteel
118,蒸汽合金炉,MTESteamAlloySmelterBronze
119,高压合金炉,MTESteamAlloySmelterSteel
120,量子缸 I,MTEQuantumTank
121,量子缸 II,MTEQuantumTank
122,量子缸 III,MTEQuantumTank
123,量子缸 IV,MTEQuantumTank
124,量子缸 V,MTEQuantumTank
125,量子箱 I,MTEQuantumChest
126,量子箱 II,MTEQuantumChest
127,量子箱 III,MTEQuantumChest
128,量子箱 IV,MTEQuantumChest
129,量子箱 V,MTEQuantumChest
130,超级缸 I,MTESuperTank
131,超级缸 II,MTESuperTank
132,超级缸 III,MTESuperTank
133,超级缸 IV,MTESuperTank
134,超级缸 V,MTESuperTank
135,超级箱 I,MTESuperChest
136,超级箱 II,MTESuperChest
137,超级箱 III,MTESuperChest
138,超级箱 IV,MTESuperChest
139,超级箱 V,MTESuperChest
140,砖高炉,MTEBrickedBlastFurnace
141,流体钻机 II,MTEOilDrill2
142,流体钻机 III,MTEOilDrill3
143,混凝土回填机,MTEConcreteBackfiller1
144,进阶混凝土回填机,MTEConcreteBackfiller2
145,数据访问仓,MTEHatchDataAccess
146,进阶数据访问仓,MTEHatchDataAccess
147,自动数据访问仓,MTEHatchDataAccess
148,无尽流体钻机,MTEOilDrillInfiniteLegacy
149,流体钻机 IV,MTEOilDrill4
150,超低压充电箱,MTELocker
151,低压充电箱,MTELocker
152,中压充电箱,MTELocker
153,高压充电箱,MTELocker
154,超高压充电箱,MTELocker
155,强导压充电箱,MTELocker
156,剧差压充电箱,MTELocker
157,零点压充电箱,MTELocker
158,极限压充电箱,MTELocker
159,极高压充电箱,MTELocker
160,超低压电池箱,MTEBasicBatteryBuffer
161,低压电池箱,MTEBasicBatteryBuffer
162,中压电池箱,MTEBasicBatteryBuffer
163,高压电池箱,MTEBasicBatteryBuffer
164,超高压电池箱,MTEBasicBatteryBuffer
165,强导压电池箱,MTEBasicBatteryBuffer
166,剧差压电池箱,MTEBasicBatteryBuffer
167,零点压电池箱,MTEBasicBatteryBuffer
168,极限压电池箱,MTEBasicBatteryBuffer
169,极高压电池箱,MTEBasicBatteryBuffer
170,超低压电池箱,MTEBasicBatteryBuffer
171,低压电池箱,MTEBasicBatteryBuffer
172,中压电池箱,MTEBasicBatteryBuffer
173,高压电池箱,MTEBasicBatteryBuffer
174,超高压电池箱,MTEBasicBatteryBuffer
175,强导压电池箱,MTEBasicBatteryBuffer
176,剧差压电池箱,MTEBasicBatteryBuffer
177,零点压电池箱,MTEBasicBatteryBuffer
178,极限压电池箱,MTEBasicBatteryBuffer
179,极高压电池箱,MTEBasicBatteryBuffer
180,超低压电池箱,MTEBasicBatteryBuffer
181,低压电池箱,MTEBasicBatteryBuffer
182,中压电池箱,MTEBasicBatteryBuffer
183,高压电池箱,MTEBasicBatteryBuffer
184,超高压电池箱,MTEBasicBatteryBuffer
185,强导压电池箱,MTEBasicBatteryBuffer
186,剧差压电池箱,MTEBasicBatteryBuffer
187,零点压电池箱,MTEBasicBatteryBuffer
188,极限压电池箱,MTEBasicBatteryBuffer
189,极高压电池箱,MTEBasicBatteryBuffer
190,超低压电池箱,MTEBasicBatteryBuffer
191,低压电池箱,MTEBasicBatteryBuffer
192,中压电池箱,MTEBasicBatteryBuffer
193,高压电池箱,MTEBasicBatteryBuffer
194,超高压电池箱,MTEBasicBatteryBuffer
195,强导压电池箱,MTEBasicBatteryBuffer
196,剧差压电池箱,MTEBasicBatteryBuffer
197,零点压电池箱,MTEBasicBatteryBuffer
198,极限压电池箱,MTEBasicBatteryBuffer
199,极高压电池箱,MTEBasicBatteryBuffer
200,四重输入仓(EV),MTEHatchMultiInput
201,基础合金炉,MTEBasicMachineWithRecipe
202,进阶合金炉,MTEBasicMachineWithRecipe
203,进阶合金炉 II,MTEBasicMachineWithRecipe
204,进阶合金炉 II,MTEBasicMachineWithRecipe
205,进阶合金炉 IV,MTEBasicMachineWithRecipe
206,ULV无线能源仓,MTEWirelessEnergy
207,LV无线能源仓,MTEWirelessEnergy
208,MV无线能源仓,MTEWirelessEnergy
209,HV无线能源仓,MTEWirelessEnergy
211,基础组装机,MTEBasicMachineWithRecipe
212,进阶组装机,MTEBasicMachineWithRecipe
213,进阶组装机 II,MTEBasicMachineWithRecipe
214,进阶组装机 III,MTEBasicMachineWithRecipe
215,进阶组装机 IV,MTEBasicMachineWithRecipe
216,EV无线能源仓,MTEWirelessEnergy
217,IV无线能源仓,MTEWirelessEnergy
218,LuV无线能源仓,MTEWirelessEnergy
219,ZPM无线能源仓,MTEWirelessEnergy
221,基础卷板机,MTEBasicMachineWithRecipe
222,进阶卷板机,MTEBasicMachineWithRecipe
223,进阶卷板机 II,MTEBasicMachineWithRecipe
224,进阶卷板机 III,MTEBasicMachineWithRecipe
225,进阶卷板机 IV,MTEBasicMachineWithRecipe
227,UV无线能源仓,MTEWirelessEnergy
229,UHV无线能源仓,MTEWirelessEnergy
231,基础装罐机,MTEBasicMachineWithRecipe
232,进阶装罐机,MTEBasicMachineWithRecipe
233,进阶装罐机 II,MTEBasicMachineWithRecipe
234,进阶装罐机 III,MTEBasicMachineWithRecipe
235,进阶装罐机 IV,MTEBasicMachineWithRecipe
236,焦炉,MTECokeOven
237,焦炉仓,MTEHatchCokeOven
238,Debug 流体储罐,MTEDebugTank
241,基础压缩机,MTEBasicMachineWithRecipe
242,进阶压缩机,MTEBasicMachineWithRecipe
243,进阶压缩机 II,MTEBasicMachineWithRecipe
244,进阶压缩机 III,MTEBasicMachineWithRecipe
245,奇点压缩机,MTEBasicMachineWithRecipe
251,基础板材切割机,MTEBasicMachineWithRecipe
252,进阶板材切割机,MTEBasicMachineWithRecipe
253,进阶板材切割机 II,MTEBasicMachineWithRecipe
254,进阶板材切割机 III,MTEBasicMachineWithRecipe
255,进阶板材切割机 IV,MTEBasicMachineWithRecipe
261,基础电炉,MTEBasicMachineWithRecipe
262,进阶电炉,MTEBasicMachineWithRecipe
263,进阶电炉 II,MTEBasicMachineWithRecipe
264,进阶电炉 III,MTEBasicMachineWithRecipe
265,电子激发处理器,MTEBasicMachineWithRecipe
266,UEV无线能源仓,MTEWirelessEnergy
267,UIV无线能源仓,MTEWirelessEnergy
268,UMV无线能源仓,MTEWirelessEnergy
269,UXV无线能源仓,MTEWirelessEnergy
271,基础提取机,MTEBasicMachineWithRecipe
272,进阶提取机,MTEBasicMachineWithRecipe
273,进阶提取机 II,MTEBasicMachineWithRecipe
274,进阶提取机 III,MTEBasicMachineWithRecipe
275,真空提取机,MTEBasicMachineWithRecipe
281,基础压模机,MTEBasicMachineWithRecipe
282,进阶压模机,MTEBasicMachineWithRecipe
283,进阶压模机 II,MTEBasicMachineWithRecipe
284,进阶压模机 III,MTEBasicMachineWithRecipe
285,进阶压模机 IV,MTEBasicMachineWithRecipe
286,MAX无线能源仓,MTEWirelessEnergy
291,基础车床,MTEBasicMachineWithRecipe
292,进阶车床,MTEBasicMachineWithRecipe
293,进阶车床 II,MTEBasicMachineWithRecipe
294,进阶车床 III,MTEBasicMachineWithRecipe
295,进阶车床 IV,MTEBasicMachineWithRecipe
301,基础研磨机,MTEBasicMachineWithRecipe
302,进阶研磨机,MTEBasicMachineWithRecipe
303,通用研磨机,MTEBasicMachineWithRecipe
304,通用粉碎机,MTEBasicMachineWithRecipe
305,矿石粉碎机 9001,MTEBasicMachineWithRecipe
311,基础微波炉,MTEBasicMachineWithRecipe
312,进阶微波炉,MTEBasicMachineWithRecipe
313,进阶微波炉 II,MTEBasicMachineWithRecipe
314,进阶微波炉 III,MTEBasicMachineWithRecipe
315,进阶微波炉 IV,MTEBasicMachineWithRecipe
321,基础打印机,MTEBasicMachineWithRecipe
322,进阶打印机,MTEBasicMachineWithRecipe
323,进阶打印机 II,MTEBasicMachineWithRecipe
324,进阶打印机 III,MTEBasicMachineWithRecipe
325,进阶打印机 IV,MTEBasicMachineWithRecipe
326,进阶打印机 V,MTEBasicMachineWithRecipe
327,进阶打印机 VI,MTEBasicMachineWithRecipe
328,进阶打印机 VII,MTEBasicMachineWithRecipe
331,基础回收机,MTEBasicMachineWithRecipe
332,进阶回收机,MTEBasicMachineWithRecipe
333,进阶回收机 II,MTEBasicMachineWithRecipe
334,进阶回收机 III,MTEBasicMachineWithRecipe
335,物品抹消器,MTEBasicMachineWithRecipe
341,基础扫描仪,MTEScanner
342,基础扫描仪,MTEScanner
343,基础扫描仪 II,MTEScanner
344,基础扫描仪 III,MTEScanner
345,基础扫描仪 IV,MTEScanner
349,Debug结构打印机,MTEDebugStructureWriter
351,基础线材轧机,MTEBasicMachineWithRecipe
352,进阶线材轧机,MTEBasicMachineWithRecipe
353,进阶线材轧机 II,MTEBasicMachineWithRecipe
354,进阶线材轧机 III,MTEBasicMachineWithRecipe
355,进阶线材轧机 IV,MTEBasicMachineWithRecipe
356,PCB工厂,MTEPCBFactory
357,纳米锻炉,MTENanoForge
358,磁通量效应监视器,MTEIndustrialElectromagneticSeparator
359,电磁铁支架,MTEHatchMagnet
360,涡轮装罐机Pro,MTEMultiCanner
361,基础离心机,MTEBasicMachineWithRecipe
362,进阶离心机,MTEBasicMachineWithRecipe
363,涡轮离心机,MTEBasicMachineWithRecipe
364,分子离心机,MTEBasicMachineWithRecipe
365,旋风分子离心机,MTEBasicMachineWithRecipe
366,流体塑形机,MTEFluidShaper
367,太阳能板制造厂,MTESolarFactory
368,大规模固化机,MTEMassSolidifier
371,基础电解机,MTEBasicMachineWithRecipe
372,进阶电解机,MTEBasicMachineWithRecipe
373,进阶电解机 II,MTEBasicMachineWithRecipe
374,进阶电解机 III,MTEBasicMachineWithRecipe
375,分子分解者 E-4908,MTEBasicMachineWithRecipe
381,基础热力离心机,MTEBasicMachineWithRecipe
382,进阶热力离心机,MTEBasicMachineWithRecipe
383,进阶热力离心机 II,MTEBasicMachineWithRecipe
384,进阶热力离心机 III,MTEBasicMachineWithRecipe
385,烈焰分离厂T-6350,MTEBasicMachineWithRecipe
391,基础洗矿厂,MTEBasicMachineWithRecipe
392,进阶洗矿厂,MTEBasicMachineWithRecipe
393,进阶洗矿厂 II,MTEBasicMachineWithRecipe
394,进阶洗矿厂 III,MTEBasicMachineWithRecipe
395,波轮洗矿厂I-360,MTEBasicMachineWithRecipe
401,基础打包机,MTEBoxinator
402,进阶打包机,MTEBoxinator
403,进阶打包机 II,MTEBoxinator
404,进阶打包机 III,MTEBoxinator
405,进阶打包机 IV,MTEBoxinator
406,精英打包机,MTEBoxinator
407,精英打包机 II,MTEBoxinator
408,终极装箱者,MTEBoxinator
411,基础解包器,MTEBasicMachineWithRecipe
412,进阶解包器,MTEBasicMachineWithRecipe
413,进阶解包器 II,MTEBasicMachineWithRecipe
414,进阶解包器 III,MTEBasicMachineWithRecipe
415,拆箱者,MTEBasicMachineWithRecipe
416,拆箱者 II,MTEBasicMachineWithRecipe
417,拆箱者 III,MTEBasicMachineWithRecipe
418,拆箱者 IV,MTEBasicMachineWithRecipe
421,基础化学反应釜,MTEBasicMachineWithRecipe
422,进阶化学反应釜,MTEBasicMachineWithRecipe
423,进阶化学反应釜 II,MTEBasicMachineWithRecipe
424,进阶化学反应釜 III,MTEBasicMachineWithRecipe
425,进阶化学反应釜 IV,MTEBasicMachineWithRecipe
431,基础流体灌装机,MTEBasicMachineWithRecipe
432,进阶流体灌装机,MTEBasicMachineWithRecipe
433,快速流体灌装机,MTEBasicMachineWithRecipe
434,涡轮流体灌装机,MTEBasicMachineWithRecipe
435,音速流体灌装机,MTEBasicMachineWithRecipe
441,基础碎石机,MTERockBreaker
442,进阶碎石机,MTERockBreaker
443,进阶碎石机 II,MTERockBreaker
444,进阶碎石机 III,MTERockBreaker
445,低温岩浆固化者R-8200,MTERockBreaker
461,基础质量发生器,MTEMassfabricator
462,进阶质量发生器,MTEMassfabricator
463,进阶质量发生器 II,MTEMassfabricator
464,进阶质量发生器 III,MTEMassfabricator
465,进阶质量发生器 IV,MTEMassfabricator
471,基础UU增幅液生产器,MTEBasicMachineWithRecipe
472,进阶UU增幅液生产器,MTEBasicMachineWithRecipe
473,进阶UU增幅液生产器 II,MTEBasicMachineWithRecipe
474,进阶UU增幅液生产器 III,MTEBasicMachineWithRecipe
475,进阶UU增幅液生产器 IV,MTEBasicMachineWithRecipe
481,基础复制机,MTEReplicator
482,进阶复制机,MTEReplicator
483,进阶复制机 II,MTEReplicator
484,进阶复制机 III,MTEReplicator
485,进阶复制机 IV,MTEReplicator
491,基础酿造室,MTEPotionBrewer
492,进阶酿造室,MTEPotionBrewer
493,进阶酿造室 II,MTEPotionBrewer
494,进阶酿造室 III,MTEPotionBrewer
495,进阶酿造室 IV,MTEPotionBrewer
501,基础发酵槽,MTEBasicMachineWithRecipe
502,进阶发酵槽,MTEBasicMachineWithRecipe
503,进阶发酵槽 II,MTEBasicMachineWithRecipe
504,进阶发酵槽 III,MTEBasicMachineWithRecipe
505,进阶发酵槽 IV,MTEBasicMachineWithRecipe
511,基础流体提取机,MTEBasicMachineWithRecipe
512,进阶流体提取机,MTEBasicMachineWithRecipe
513,进阶流体提取机 II,MTEBasicMachineWithRecipe
514,进阶流体提取机 III,MTEBasicMachineWithRecipe
515,进阶流体提取机 IV,MTEBasicMachineWithRecipe
521,基础流体固化器,MTEBasicMachineWithRecipe
522,进阶流体固化器,MTEBasicMachineWithRecipe
523,进阶流体固化器 II,MTEBasicMachineWithRecipe
524,进阶流体固化器 III,MTEBasicMachineWithRecipe
525,进阶流体固化器 IV,MTEBasicMachineWithRecipe
531,基础蒸馏室,MTEBasicMachineWithRecipe
532,进阶蒸馏室,MTEBasicMachineWithRecipe
533,进阶蒸馏室 II,MTEBasicMachineWithRecipe
534,进阶蒸馏室 III,MTEBasicMachineWithRecipe
535,进阶蒸馏室 IV,MTEBasicMachineWithRecipe
541,基础化学浸洗机,MTEBasicMachineWithRecipe
542,进阶化学浸洗机,MTEBasicMachineWithRecipe
543,进阶化学浸洗机 II,MTEBasicMachineWithRecipe
544,进阶化学浸洗机 III,MTEBasicMachineWithRecipe
545,进阶化学浸洗机 IV,MTEBasicMachineWithRecipe
551,基础两极磁化机,MTEBasicMachineWithRecipe
552,进阶两极磁化机,MTEBasicMachineWithRecipe
553,进阶两极磁化机 II,MTEBasicMachineWithRecipe
554,进阶两极磁化机 III,MTEBasicMachineWithRecipe
555,进阶两极磁化机 IV,MTEBasicMachineWithRecipe
561,基础电磁离析机,MTEBasicMachineWithRecipe
562,进阶电磁离析机,MTEBasicMachineWithRecipe
563,进阶电磁离析机 II,MTEBasicMachineWithRecipe
564,进阶电磁离析机 III,MTEBasicMachineWithRecipe
565,进阶电磁离析机 IV,MTEBasicMachineWithRecipe
571,基础高压釜,MTEBasicMachineWithRecipe
572,进阶高压釜,MTEBasicMachineWithRecipe
573,进阶高压釜 II,MTEBasicMachineWithRecipe
574,进阶高压釜 III,MTEBasicMachineWithRecipe
575,进阶高压釜 IV,MTEBasicMachineWithRecipe
581,基础搅拌机,MTEBasicMachineWithRecipe
582,进阶搅拌机,MTEBasicMachineWithRecipe
583,进阶搅拌机 II,MTEBasicMachineWithRecipe
584,进阶搅拌机 III,MTEBasicMachineWithRecipe
585,进阶搅拌机 IV,MTEBasicMachineWithRecipe
591,基础精密激光蚀刻机,MTEBasicMachineWithRecipe
592,进阶精密激光蚀刻机,MTEBasicMachineWithRecipe
593,进阶精密激光蚀刻机 II,MTEBasicMachineWithRecipe
594,进阶精密激光蚀刻机 III,MTEBasicMachineWithRecipe
595,进阶精密激光蚀刻机 IV,MTEBasicMachineWithRecipe
601,基础冲压机床,MTEBasicMachineWithRecipe
602,进阶冲压机床,MTEBasicMachineWithRecipe
603,进阶冲压机床 II,MTEBasicMachineWithRecipe
604,进阶冲压机床 III,MTEBasicMachineWithRecipe
605,进阶冲压机床 IV,MTEBasicMachineWithRecipe
611,基础锻造锤,MTEBasicMachineWithRecipe
612,进阶锻造锤,MTEBasicMachineWithRecipe
613,进阶锻造锤 II,MTEBasicMachineWithRecipe
614,进阶锻造锤 III,MTEBasicMachineWithRecipe
615,进阶锻造锤 IV,MTEBasicMachineWithRecipe
621,基础流体加热器,MTEBasicMachineWithRecipe
622,进阶流体加热器,MTEBasicMachineWithRecipe
623,进阶流体加热器 II,MTEBasicMachineWithRecipe
624,进阶流体加热器 III,MTEBasicMachineWithRecipe
625,进阶流体加热器 IV,MTEBasicMachineWithRecipe
641,基础筛选机,MTEBasicMachineWithRecipe
642,进阶筛选机,MTEBasicMachineWithRecipe
643,进阶筛选机 II,MTEBasicMachineWithRecipe
644,进阶筛选机 III,MTEBasicMachineWithRecipe
645,进阶筛选机 IV,MTEBasicMachineWithRecipe
651,基础电弧炉,MTEBasicMachineWithRecipe
652,进阶电弧炉,MTEBasicMachineWithRecipe
653,进阶电弧炉 II,MTEBasicMachineWithRecipe
654,进阶电弧炉 III,MTEBasicMachineWithRecipe
655,进阶电弧炉 IV,MTEBasicMachineWithRecipe
661,基础等离子电弧炉,MTEBasicMachineWithRecipe
662,进阶等离子电弧炉,MTEBasicMachineWithRecipe
663,进阶等离子电弧炉 II,MTEBasicMachineWithRecipe
664,进阶等离子电弧炉 III,MTEBasicMachineWithRecipe
665,进阶等离子电弧炉 IV,MTEBasicMachineWithRecipe
671,基础电烤炉,MTEBasicMachineWithRecipe
672,进阶电烤炉,MTEBasicMachineWithRecipe
673,进阶电烤炉 II,MTEBasicMachineWithRecipe
674,进阶电烤炉 III,MTEBasicMachineWithRecipe
675,进阶电烤炉 IV,MTEBasicMachineWithRecipe
679,基础采矿机,MTEMiner
680,优良采矿机,MTEMiner
681,进阶采矿机,MTEMiner
686,工业精密车床,MTEMultiLathe
687,工业高压釜,MTEMultiAutoclave
690,超低压电池充电器,MTECharger
691,低压电池充电器,MTECharger
692,中压电池充电器,MTECharger
693,高压电池充电器,MTECharger
694,超高压电池充电器,MTECharger
695,强导压电池充电器,MTECharger
696,剧差压电池充电器,MTECharger
697,零点压电池充电器,MTECharger
698,极限压电池充电器,MTECharger
699,极高压电池充电器,MTECharger
710,四重输入仓(IV),MTEHatchMultiInput
711,四重输入仓(LuV),MTEHatchMultiInput
712,四重输入仓(ZPM),MTEHatchMultiInput
713,四重输入仓(UV),MTEHatchMultiInput
714,四重输入仓(UHV),MTEHatchMultiInput
715,四重输入仓(UEV),MTEHatchMultiInput
716,四重输入仓(UIV),MTEHatchMultiInput
717,四重输入仓(UMV),MTEHatchMultiInput
718,四重输入仓(UXV),MTEHatchMultiInput
719,巨型四重输入仓,MTEHatchQuadrupleHumongous
730,生物仓,MTEPCBBioChamber
731,冷却塔,MTEPCBCoolingTower
749,反应堆熔盐加工厂,MTENuclearSaltProcessingPlant
751,液态氟钍反应堆,MTENuclearReactor
753,进阶锅炉[LV],MTEAdvancedBoilerLV
754,进阶锅炉[MV],MTEAdvancedBoilerMV
755,进阶锅炉[HV],MTEAdvancedBoilerHV
756,污染探测仪,MTEPollutionDetector
758,中级污染清洗机,MTEAtmosphericReconditioner
759,进阶污染清洗机,MTEAtmosphericReconditioner
760,精准污染清洗机,MTEAtmosphericReconditioner
761,空气回收器,MTEAtmosphericReconditioner
762,中级空气回收器,MTEAtmosphericReconditioner
763,进阶空气回收器,MTEAtmosphericReconditioner
764,精准空气回收器,MTEAtmosphericReconditioner
765,大气净化者,MTEAtmosphericReconditioner
766,生物圈净化者,MTEAtmosphericReconditioner
770,超低压能量缓冲器,MTEEnergyBuffer
771,低压能量缓冲器,MTEEnergyBuffer
772,中压能量缓冲器,MTEEnergyBuffer
773,高压能量缓冲器,MTEEnergyBuffer
774,超高压能量缓冲器,MTEEnergyBuffer
775,强导压能量缓冲器,MTEEnergyBuffer
776,剧差压能量缓冲器,MTEEnergyBuffer
777,零点压能量缓冲器,MTEEnergyBuffer
778,极限压能量缓冲器,MTEEnergyBuffer
779,极高压能量缓冲器,MTEEnergyBuffer
790,工业离心机,MTEIndustrialCentrifugeLegacy
791,工业焦炉,MTEIndustrialCokeOvenLegacy
792,工业辊压机,MTEIndustrialPlatePressLegacy
793,基础火箭引擎,MTERocketFuelGenerator
794,进阶火箭引擎,MTERocketFuelGenerator
795,涡轮火箭引擎,MTERocketFuelGenerator
796,工业电解机,MTEIndustrialElectrolyzerLegacy
797,工业粉碎机,MTEIndustrialMaceratorLegacy
798,工业线缆机,MTEIndustrialWireMillLegacy
799,物质发生器CPU,MTEMassFabricator
810,合金冶炼炉,MTEAlloyBlastSmelter
811,工业搅拌机,MTEIndustrialMixerLegacy
812,能源站控制节点,MTEPowerSubStation
813,化学脱水机 I,MTEBasicMachineWithRecipe
814,化学脱水机 II,MTEBasicMachineWithRecipe
815,化学脱水机 III,MTEBasicMachineWithRecipe
816,化学脱水机 IV,MTEBasicMachineWithRecipe
817,超低压流体储罐,MTETieredTank
818,低压流体储罐,MTETieredTank
819,中压流体储罐,MTETieredTank
820,高压流体储罐,MTETieredTank
828,COMET-紧凑式回旋加速器,MTECyclotron
829,珠海渔场,MTEIndustrialFishingPondLegacy
830,基础地热引擎,MTEGeothermalGenerator
831,涡轮地热引擎,MTEGeothermalGenerator
832,火神地热引擎,MTEGeothermalGenerator
833,超立方体发生器,MTETesseractGenerator
834,超立方体终端,MTETesseractTerminal
835,反应堆燃料加工厂,MTERefinery
836,原木拟生场,MTETreeFarmLegacy
837,基础半流质发电机,MTESemiFluidGenerator
838,进阶半流质发电机,MTESemiFluidGenerator
839,涡轮半流质发电机,MTESemiFluidGenerator
840,工业筛选机,MTEIndustrialSifterLegacy
849,工业热力精炼厂,MTEIndustrialThermalCentrifugeLegacy
850,工业洗矿厂,MTEIndustrialWashPlantLegacy
859,工业压模机,MTEIndustrialExtruderLegacy
861,进气仓,MTEHatchAirIntake
862,工业电弧炉,MTEIndustrialArcFurnaceLegacy
863,太阳能塔,MTESolarTower
864,太阳能反射器,MTESolarHeater
865,特大蒸汽涡轮,MTELargerTurbineSteamLegacy
866,特大高压蒸汽涡轮,MTELargerTurbineHPSteamLegacy
869,放射性同位素温差发电机,MTERTGenerator
875,地热锅炉,MTEThermalBoilerLegacy
876,大规模自动装配机v1.01,MTEAutoCrafter
877,ULV高电流变压器,MTETransformerHiAmp
878,LV高电流变压器,MTETransformerHiAmp
879,MV高电流变压器,MTETransformerHiAmp
880,HV高电流变压器,MTETransformerHiAmp
881,EV高电流变压器,MTETransformerHiAmp
882,IV高电流变压器,MTETransformerHiAmp
883,LuV高电流变压器,MTETransformerHiAmp
884,ZPM高电流变压器,MTETransformerHiAmp
885,UV高电流变压器,MTETransformerHiAmp
886,电池输入总线(MV),MTEHatchInputBattery
887,电池输入总线(EV),MTEHatchInputBattery
888,电池输出总线(MV),MTEHatchOutputBattery
889,电池输出总线(EV),MTEHatchOutputBattery
890,无线充电器 MK I,MTEWirelessCharger
891,无线充电器 MK II,MTEWirelessCharger
892,无线充电器 MK III,MTEWirelessCharger
893,无线充电器 MK IV,MTEWirelessCharger
894,无线充电器 MK V,MTEWirelessCharger
895,无线充电器 MK VI,MTEWirelessCharger
896,无线充电器 MK VII,MTEWirelessCharger
897,无线充电器 MK VIII,MTEWirelessCharger
898,无线充电器 MK IX,MTEWirelessCharger
