ID,Name,Version,Custom Container,Disableable,Dependencies
chunkapi,ChunkAPI,0.8.3,false,DEPENDENCIES,[]
archaicfix,ArchaicFix,0.8.0,false,RESTART,"[gtnhmixins@[2.0.0,), unimixins@[0.1.16,), chunkapi]"
hodgepodge,Hodgepodge,2.7.160,false,RESTART,"[gtnhmixins@[2.0.1,), unimixins@[0.0.20,), gtnhlib@[0.9.41,)]"
angelica,Angelica,2.1.32,false,RESTART,"[gtnhlib@[0.8.21,), hodgepodge@[2.4.4,), CodeChickenCore@[1.2.0,), archaicfix@[0.7.0,)]"
amazingtrophies,Amazing Trophies,1.4.2,false,RESTART,"[gtnhlib@[0.9.13,), angelica@[1.0.0-beta4,)]"
BuildCraft|Energy,BC Energy,7.1.60,false,RESTART,[BuildCraft|Core@7.1.60]
GalacticraftCore,Galacticraft Core,3.4.29-GTNH,false,DEPENDENCIES,"[NotEnoughItems, IC2, TConstruct, Mantle, BuildCraft|Core, BuildCraft|Energy, PlayerAPI@[1.3,), gtnhlib@[0.3.1,)]"
GalacticraftMars,Galacticraft Planets,3.4.29-GTNH,false,DEPENDENCIES,[GalacticraftCore]
betterquesting,BetterQuesting,3.8.70-GTNH,false,DEPENDENCIES,"[gtnhlib@[0.10.7,)]"
endercore,EnderCore,0.5.14,false,DEPENDENCIES,"[ttCore, gtnhlib@[0.0.10,)]"
Natura,Natura,2.8.19,false,RESTART,"[Mantle, TConstruct]"
BiomesOPlenty,Biomes O' Plenty,2.1.0,false,RESTART,"[Natura, Forge@[10.13.4.1566,)]"
HardcoreEnderExpansion,Hardcore Ender Expansion,1.12.22-GTNH,false,RESTART,"[gtnhlib@[0.5.22,)]"
Forestry,Forestry,4.11.26,false,DEPENDENCIES,"[Forge@[10.13.4.1566,), gtnhlib@[0.9.41,), Buildcraft|Core@[6.1.7,), ExtrabiomesXL, BiomesOPlenty, IC2@[2.0.140,), Natura@[2.2.0,), HardcoreEnderExpansion]"
BuildCraft|Builders,BC Builders,7.1.60,false,RESTART,[BuildCraft|Core@7.1.60]
BuildCraft|Factory,BC Factory,7.1.60,false,DEPENDENCIES,[BuildCraft|Core@7.1.60]
Railcraft,Railcraft,9.17.26,false,RESTART,"[Forge@[10.13.4.1614,), BuildCraft|Core[6.1.7,), BuildCraft|Energy, BuildCraft|Builders, BuildCraft|Factory, BuildCraftAPI|statements[1.0,), BuildCraftAPI|transport[1.0,), Forestry[3,), Thaumcraft, IC2@[2.2,)]"
EnderIO,Ender IO,2.10.30,false,RESTART,"[CoFHLib@[1.7.10R1.0.3B3,), endercore, gtnhlib@[0.2.10,), MineFactoryReloaded, Forestry, Waila@[1.5.8,), Thaumcraft, appliedenergistics2@[rv2-beta-8,), Railcraft@[9.16.7,)]"
supersolarpanel,Super Solar Panel,1.1.5,false,RESTART,"[AdvancedSolarPanel, IC2]"
YAMCore,YAMCore,0.7.5,false,DEPENDENCIES,[]
dreamcraft,GT: New Horizons,2.8.279,false,DEPENDENCIES,"[Forge@[10.13.2.1291,), gtnhlib@[0.5.15,), YAMCore@[0.5.76,), Baubles@[1.0.1.10,), EnderIO, HardcoreEnderExpansion, Thaumcraft, amazingtrophies, backhand@[1.6.9,), betterquesting]"
IronChest,Iron Chests,6.1.13,false,DEPENDENCIES,"[Forge@[10.10,), FML@[7.2,)]"
GalacticraftAmunRa,Amun-Ra,0.8.12,false,RESTART,"[GalacticraftCore@[3.0.61-GTNH,), GalacticraftMars, dreamcraft, IronChest, AdvancedSolarPanel, Hodgepodge@[2.2.19,)]"
mcpatcherforge,MCPatcherForge,1.0.0-alpha,false,RESTART,[]
notfine,NotFine,2.1.32,false,RESTART,[]
angermod,AngerMod. Makes your Mobs angry!,1.0.6,false,RESTART,"[Forge@[10.13.4.1614,), Baubles@[1.0.1.10,), gtnhlib@[0.8.34,)]"
AppleCore,AppleCore,3.3.11,false,DEPENDENCIES,[]
ArchitectureCraft,ArchitectureCraft,1.12.13,false,RESTART,[]
asielib,AsieLib,0.7.2,false,DEPENDENCIES,"[Forge@[10.13.2.1236,), CoFHAPI|block@[1.7.10R1.0.0,), CoFHAPI|energy@[1.7.10R1.0.0,), CoFHAPI|tileentity@[1.7.10R1.0.0,), CoFHAPI|item@[1.7.10R1.0.0,)]"
Automagy,Automagy,0.28.2,false,RESTART,"[Thaumcraft@[4.2.3.5,), Waila, MineFactoryReloaded, MineFactoryReloaded|CompatThaumcraft]"
aspectrecipeindex,Aspect Recipe Index,1.1.1,false,RESTART,"[Thaumcraft, gtnhmixins, gtnhlib, TC4Tweaks|API|InfusionRecipeLib, Automagy]"
AWWayofTime,Blood Magic: Alchemical Wizardry,1.9.4,false,DEPENDENCIES,"[CodeChickenLib@[1.1.5.7,), NotEnoughItems@[2.3.20-GTNH,)]"
Botania,Botania,1.13.25-GTNH,false,DEPENDENCIES,"[Baubles, Thaumcraft, gtnhlib@[0.5.22,)]"
Avaritia,Avaritia,1.97,false,DEPENDENCIES,"[Thaumcraft, AWWayofTime, Botania]"
wanionlib,WanionLib,1.10.1,false,DEPENDENCIES,[]
avaritiaddons,Avaritiaddons,1.9.4-GTNH,false,RESTART,"[Avaritia, wanionlib@[1.7.10-1.2,)]"
Backpack,Backpack Edited for ModdedNetwork,2.6.13-GTNH,false,RESTART,[]
Baubles|Expanded,Baubles Expanded,2.2.21-GTNH,false,RESTART,[]
bdlib,BD lib,1.11.0-GTNH,false,DEPENDENCIES,[]
beebetteratbees,BeeBetterAtBees,0.4.6-GTNH,false,RESTART,[]
BetterAchievements,Better Achievements,0.3.3,false,RESTART,[]
betterbuilderswands,BetterBuildersWands,0.13.11-GTNH,false,RESTART,[]
bettercrashes,BetterCrashes,1.4.5-GTNH,false,RESTART,[]
betterloadingscreen,Better Loading Screen GTNH,1.7.8-GTNH,false,RESTART,[]
forgelin,Forgelin,2.0.3-GTNH,false,DEPENDENCIES,[]
betterp2p,BetterP2P,1.4.3,false,RESTART,"[appliedenergistics2@[rv3-beta-238,), forgelin]"
bq_standard,Standard Expansion,3.8.70-GTNH,false,RESTART,[betterquesting]
questbook,BetterQuesting,3.8.70-GTNH,false,RESTART,[betterquesting]
cb4bq,Command Blocks for Better Questing,3.8.70-GTNH,false,RESTART,[betterquesting]
BiblioCraft,BiblioCraft,1.11.7,false,RESTART,[]
BiblioWoodsBoP,BiblioWoods Biomes O'Plenty Edition,1.9,false,RESTART,"[BiblioCraft, BiomesOPlenty]"
BiblioWoodsForestry,BiblioWoods Forestry Edition,1.7,false,RESTART,"[BiblioCraft, Forestry]"
BiblioWoodsNatura,BiblioWoods Natura Edition,1.5,false,RESTART,"[BiblioCraft, Natura]"
BinnieCore,Binnie Core,2.6.32,false,RESTART,"[Forestry, gtnhlib@[0.0.10,)]"
Botany,Botany,2.6.32,false,RESTART,[BinnieCore]
ExtraBees,Extra Bees,2.6.32,false,RESTART,[BinnieCore]
ExtraTrees,Extra Trees,2.6.32,false,RESTART,[BinnieCore]
Genetics,Genetics,2.6.32,false,RESTART,[BinnieCore]
blocklimiter,BlockLimiter. Restrict your Blocks,0.7.0,false,RESTART,"[Forge@[10.13.2.1291,), YAMCore@[0.5.65,)]"
structurelib,StructureLib,1.4.38,false,DEPENDENCIES,[]
blockrenderer6343,BlockRenderer6343,1.4.14,false,RESTART,"[NotEnoughItems, structurelib, gtnhlib]"
ThaumicTinkerer,Thaumic Tinkerer,2.12.22,false,RESTART,"[Forge@[10.12.1.1112,), Thaumcraft, IC2, Waila, ForgeMultipart, ComputerCraft]"
ForbiddenMagic,Forbidden Magic,0.9.16-GTNH,false,DEPENDENCIES,"[gtnhlib@[0.9.41,), Thaumcraft@[4.2.2.0,), ThaumicTinkerer, AWWayofTime, Botania]"
BloodArsenal,Blood Arsenal,1.5.10,false,RESTART,"[AWWayofTime, NotEnoughItems, Baubles, guideapi, TConstruct, Waila, ForbiddenMagic]"
modularui2,Modular UI 2,2.3.73-1.7.10,false,DEPENDENCIES,"[gtnhmixins@[2.0.1,), gtnhlib@[0.2.0,), NotEnoughItems@[2.3.27-GTNH,), hodgepodge@[2.0.0,)]"
bogosorter,Inventory Bogo Sorter,1.3.29-GTNH,false,RESTART,"[unimixins@[0.1.19,), gtnhlib@[0.6.1,), modularui2@[2.2.2,)]"
TwilightForest,The Twilight Forest,2.7.33,false,DEPENDENCIES,[]
chisel,Chisel,2.17.27-GTNH,false,DEPENDENCIES,"[EE3, ForgeMultipart, Thaumcraft, appliedenergistics2, Railcraft, AWWayofTime, TwilightForest, BiomesOPlenty]"
MineTweaker3,MineTweaker 3,3.4.7,false,DEPENDENCIES,[]
witchery,Witchery,0.24.1,false,DEPENDENCIES,"[Forge@[10.13.2.1277,), MineFactoryReloaded, NotEnoughItems, Waila, ForgeMultipart, AWWayofTime]"
etfuturum,Et Futurum Requiem,2.6.40-GTNH,false,RESTART,"[Forge@[10.13.4.1614,), gtnhlib@[0.9.41,), Thaumcraft@[4.2.3.5,), TwilightForest, HardcoreEnderExpansion, bluepower, MineTweaker3, TConstruct, witchery, BiomesOPlenty]"
BuildCraft|Silicon,BC Silicon,7.1.60,false,DEPENDENCIES,[BuildCraft|Core@7.1.60]
BuildCraft|Transport,BC Transport,7.1.60,false,DEPENDENCIES,[BuildCraft|Core@7.1.60]
MagicBees,Magic Bees,2.10.9-GTNH,false,RESTART,"[Forestry@[4.2.5,), Baubles, Thaumcraft, ExtraBees, EE3, ArsMagica, TConstruct, Railcraft, ThermalFoundation, ThermalExpansion, RedstoneArsenal, AWWayofTime, Botania, appliedenergistics2]"
gendustry,Gendustry,1.9.9-GTNH,false,RESTART,"[Forestry@[4.0.0.0,), BuildCraft|energy, BuildCraft|Silicon, IC2, CoFHCore, BinnieCore, ExtraBees, ExtraTrees, MineFactoryReloaded, MagicBees, bdlib@[1.9.4.109,)]"
ggfab,GigaGramFab,5.09.52.594,false,RESTART,[IC2]
gtswn,GTSimpleWirelessNetwork,v1.6.19,false,RESTART,[appliedenergistics2]
harvestcraft,Pam's HarvestCraft,1.3.11-GTNH,false,RESTART,[]
modularui,ModularUI,1.3.4,false,DEPENDENCIES,"[gtnhmixins@[2.0.1,), NotEnoughItems@[2.3.50-GTNH,), hodgepodge@[2.0.0,), gtnhlib@[0.2.7,)]"
Translocator,Translocator,1.4.4,false,RESTART,"[CodeChickenCore@[1.4.12,), NotEnoughItems]"
gregtech,GregTech,5.09.52.594,false,DEPENDENCIES,"[IC2, structurelib, gtnhlib@[0.6.35,), modularui@[1.1.12,), appliedenergistics2@[rv3-beta-258,), dreamcraft, Forestry, PFAAGeologica, Thaumcraft, Railcraft, ThermalExpansion, TwilightForest, harvestcraft, magicalcrops, Botania, BuildCraft|Transport, BuildCraft|Silicon, BuildCraft|Factory, BuildCraft|Energy, BuildCraft|Core, BuildCraft|Builders, GalacticraftCore, GalacticraftMars, GalacticraftPlanets, ThermalExpansion|Transport, ThermalExpansion|Energy, ThermalExpansion|Factory, RedPowerCore, RedPowerBase, RedPowerMachine, RedPowerCompat, RedPowerWiring, RedPowerLogic, RedPowerLighting, RedPowerWorld, RedPowerControl, UndergroundBiomes, TConstruct, Translocator, gendustry]"
botanichorizons,botanichorizons,1.12.8-GTNH,false,RESTART,"[Baubles, Thaumcraft, Botania, gregtech, witchery, BiomesOPlenty, dreamcraft, TConstruct, Avaritia, chisel, StructureLib, etfuturum]"
VillageNames,Village Names,4.5.15-GTNH,false,RESTART,[]
bugtorch,BugTorch,1.2.14,false,RESTART,"[gtnhmixins@[2.0.0,), Thaumcraft, temperateplants, VillageNames, witchery]"
BuildCraft|Robotics,BC Robotics,7.1.60,false,DEPENDENCIES,[BuildCraft|Core@7.1.60]
BuildCraft|Compat,BuildCraft Compat,7.1.21,false,RESTART,"[Forge@[10.13.0.1179,), BuildCraft|Core, Forestry, BuildCraft|Transport, BuildCraft|Builders, ThermalExpansion]"
OilTweak,BuildCraft Oil Tweak,1.1.3,false,YES,"[BuildCraft|Core@[6.4.1,), Forge@[10.13.2.1236,), BuildCraft|Energy@[6.4.1,), EnderIO@[1.7.10_2.2.7,), simplyjetpacks]"
CarpentersBlocks,Carpenter's Blocks,3.7.2-GTNH,false,RESTART,"[Forge@[10.13.0.1180,)]"
catwalks,Catwalks Mod,2.0.4,false,RESTART,[]
cheapervoidminers,CheaperVoidMiners,1.0.0,false,RESTART,[gregtech]
Ztones,Ztones,1.7.10,false,DEPENDENCIES,[]
chiseltones,Chisel Tones,1.2.0-GTNH,false,RESTART,"[chisel, Ztones]"
chromatictooltips,ChromaticTooltips,1.0.29-GTNH,false,DEPENDENCIES,"[gtnhlib@[0.9.6,)]"
chromatictooltipscompat,ChromaticTooltipsCompat,1.0.31-GTNH,false,RESTART,"[chromatictooltips@[1.0.7,)]"
compactkineticgenerators,Compact Kinetic Wind and Water Generators,1.7.10-1.0,false,RESTART,"[Forge@[10.13,), IC2@[2.2,)]"
EnderStorage,EnderStorage,1.8.3,false,RESTART,"[CodeChickenCore@[1.4.10,)]"
MrTJPCoreMod,MrTJPCore,1.3.7,false,DEPENDENCIES,"[CodeChickenCore@[1.4.3,)]"
ProjRed|Core,ProjectRed Core,4.12.38-GTNH,false,DEPENDENCIES,"[Forge, ForgeMultipart, MrTJPCoreMod]"
ProjRed|Transmission,ProjectRed Transmission,4.12.38-GTNH,false,DEPENDENCIES,[ProjRed|Core]
OpenComputers,OpenComputers,1.12.44-GTNH,false,DEPENDENCIES,"[BuildCraft|Core, ComputerCraft, EnderStorage, ForgeMultipart, IC2, MineFactoryReloaded, ProjRed|Transmission, RedLogic, StargateTech2, Thaumcraft, ThermalExpansion]"
computronics,Computronics,1.9.8-GTNH,false,RESTART,"[asielib@[0.4.9,), Forge@[10.13.2.1291,), ComputerCraft@[1.75,), OpenComputers@[1.6.2,), tis3d@[0.8.2.61,), MineFactoryReloaded, RedLogic@[59.1.9,), ProjRed|Core, BuildCraft|Core@[7.0.6,), Railcraft@[9.10.0.0,), gregtech, EnderIO@[1.7.10-2.3.0.424,), Forestry, Waila@[1.5.10,), MekanismAPI|energy@[8.0.0,), Flamingo@[1.7.10-1.3,), armourersWorkshop@[1.7.10-0.33,)]"
controlling,Controlling,2.1.7,false,RESTART,[]
cookingforblockheads,Cooking For Blockheads,1.4.12-GTNH,false,DEPENDENCIES,[]
coretweaks,CoreTweaks,0.3.4.6-GTNH,false,RESTART,[]
cosmeticarmorreworked,CosmeticArmorReworked,1.0.5-GTNH,false,RESTART,[]
craftingtweaks,Gregory Tweaks For Crafting,1.0.3,false,RESTART,"[gtnhlib@[0.9.24,)]"
unilib,UniLib,1.2.1,false,DEPENDENCIES,[]
craftpresence,CraftPresence,2.7.1,false,YES,"[unilib@[1.2.0,]]"
gtneioreplugin,GT NEI Ore Plugin GT:NH Mod,5.09.52.594,false,DEPENDENCIES,"[gregtech, NotEnoughItems]"
tectech,TecTech - Tec Technology!,5.09.52.594,false,DEPENDENCIES,"[Forge@[10.13.4.1614,), structurelib, ComputerCraft, OpenComputers, gtneioreplugin, gregtech, dreamcraft, appliedenergistics2, CoFHCore, Thaumcraft]"
ProjRed|Illumination,ProjectRed Illumination,4.12.38-GTNH,false,RESTART,[ProjRed|Core]
RandomThings,RandomThings,2.7.7,false,RESTART,[]
bartworks,BartWorks,5.09.52.594,false,DEPENDENCIES,"[IC2, gregtech, tectech, GalacticraftMars, GalacticraftCore, Forestry, ProjRed|Illumination, RandomThings]"
bartworkscrossmodtgregworkscontainer,BartWorks Mod Additions - TGregworks Container,5.09.52.594,false,RESTART,"[IC2, gregtech, bartworks]"
GoodGenerator,Good Generator,5.09.52.594,false,DEPENDENCIES,"[IC2, gregtech, bartworks, tectech, structurelib, dreamcraft]"
gtnhlanth,GTNH: Lanthanides,5.09.52.594,false,RESTART,"[IC2, gregtech, bartworks, GoodGenerator]"
gregtech_nh,GregTech GTNH,5.09.52.594,false,RESTART,[]
IC2NuclearControl,Nuclear Control 2,2.7.9,false,RESTART,"[IC2, gregtech_nh]"
OpenMods,OpenMods,0.10.14,false,DEPENDENCIES,[OpenModsCore]
OpenBlocks,OpenBlocks,1.12.14-GTNH,false,RESTART,"[OpenMods@[0.10.1,)]"
StevesCarts,Steve's Carts 2,2.3.14,false,RESTART,[]
TGregworks,Tinkers' Gregworks,1.7.10-GTNH-1.0.33,false,RESTART,"[TConstruct@[1.7.10-1.8.6b.build977,), gregtech]"
miscutils,GT++,5.09.52.594,false,DEPENDENCIES,"[Forge, TConstruct, dreamcraft, IC2, gregtech, Forestry, MagicBees, CoFHCore, Railcraft, CompactWindmills, ForbiddenMagic, ExtraUtilities, Thaumcraft, EnderIO, tectech, OpenBlocks, IC2NuclearControl, TGregworks, StevesCarts, gtnhlib@[0.0.10,)]"
cropsnh,Crops NH,1.7.10-@MAJOR@.@MINOR@.@REVIS@,false,RESTART,"[gregtech, GalacticraftCore, miscutils, Forestry, Natura, TConstruct, BiomesOPlenty, Thaumcraft, witchery, TwilightForest, structurelib, harvestcraft]"
custommainmenu,Custom Main Menu,1.14.1,false,RESTART,[]
darkerer,Darkerer,1.1.0,false,RESTART,"[gtnhlib@[0.6.3,), unimixins]"
defaultkeys,Default Configs,1.3.1,false,RESTART,[]
defaultworldgenerator,Default World Generator,0.4.0,false,RESTART,[]
DraconicEvolution,Draconic Evolution,1.5.26-GTNH,false,RESTART,"[NotEnoughItems, ThermalExpansion, ThermalFoundation]"
DummyCore,DummyCore,1.21.0,false,DEPENDENCIES,[]
duradisplay,DuraDisplay,1.4.2,false,RESTART,"[gregtech, EnderIO@[2.4.18,)]"
EMT,Electro-Magic Tools,1.7.22,false,RESTART,"[Thaumcraft, IC2, modularui, gregtech, Avaritia, MagicBees, ForbiddenMagic, dreamcraft]"
EnderZoo,Ender Zoo,1.3.4,false,RESTART,"[Forge@10.13.0.1150,)]"
falsepatternlib,FalsePatternLib,1.12.0,false,DEPENDENCIES,[]
endlessids,EndlessIDs,1.7.3,false,RESTART,"[chunkapi@[0.8.0,), falsepatternlib@[1.12.0,), antiidconflict]"
enhancedlootbags,Enhanced LootBags,1.3.4,false,RESTART,"[Forge@[10.13.4.1558,), YAMCore@[0.5.63,)]"
extremesoundmuffler,Extreme Sound Muffler Legacy,1.1.0,false,RESTART,[gtnhlib]
universalsingularities,UniversalSingularities,8.15.1,false,RESTART,[Avaritia]
eternalsingularity,Eternal Singularity,1.4.3,false,DEPENDENCIES,"[Avaritia, wanionlib@[1.7.10-1.3,), thermsingul, universalsingularities, aobdsingularities, gtnhlib@[0.8.32,)]"
fether,Fether,2.0.5,false,RESTART,[]
findit,FindIt,1.4.3,false,RESTART,"[NotEnoughItems, gregtech]"
FloodLights,Flood Lights,1.5.6,false,RESTART,[IC2]
ForgeMicroblock,Forge Microblocks,1.7.7,false,RESTART,"[CodeChickenCore@[1.4.3,), ForgeMultipart]"
McMultipart,Minecraft Multipart Plugin,1.7.7,false,RESTART,[]
ForgeRelocation,ForgeRelocation,0.3.6,false,DEPENDENCIES,[MrTJPCoreMod]
MCFrames,MCFrames,0.3.6,false,RESTART,[MrTJPCoreMod]
RelocationFMP,RelocationFMP,0.2.0,false,RESTART,"[ForgeRelocation, ForgeMultipart]"
freecam,Freecam,1.0.8,false,RESTART,[]
gadomancy,Gadomancy,1.5.12,false,RESTART,"[Thaumcraft@[4.1.1.11,), Waila, Automagy]"
GalaxySpace,GalaxySpace,1.1.139-GTNH,false,DEPENDENCIES,"[gtnhlib@[0.9.41,), GalacticraftCore@[3.0.36,), GalacticraftMars, endlessids, IronChest]"
GraviSuite,Graviation Suite,1.7.10-2.0.3,false,DEPENDENCIES,"[IC2, RedPowerCore]"
gravisuiteneo,Gravitation Suite Neo,1.3.12,false,RESTART,"[GraviSuite@[1.7.10-2.0.3,1.7.10-2.0.3], IC2, gregtech]"
openmodularturrets,Open Modular Turrets,2.4.5,false,RESTART,"[ThermalFoundation, ThermalExpansion, OpenComputers, ComputerCraft, Mekanism, EnderIO, Thaumcraft]"
gtnhintergalactic,GTNH-Intergalactic,5.09.52.594,false,DEPENDENCIES,"[GalacticraftCore@[3.0.36,), GalacticraftMars, gregtech, gtnhlib@[0.5.21,), tectech, structurelib, GalaxySpace, bartworks, GoodGenerator, miscutils, dreamcraft, openmodularturrets, IronChest]"
InfernalMobs,Infernal Mobs,1.10.5-GTNH,false,RESTART,[]
mobsinfo,MobsInfo,0.5.17-GTNH,false,RESTART,"[gtnhmixins@[2.0.1,), NotEnoughItems@[2.8.11-GTNH,), EnderIO, Thaumcraft, InfernalMobs, MineTweaker3]"
kubatech,KubaTech,5.09.52.594,false,RESTART,"[gregtech, gtnhmixins@[2.0.1,), modularui, mobsinfo, EnderIO, AWWayofTime, ExtraUtilities, InfernalMobs, Thaumcraft, MineTweaker3, miscutils, harvestcraft, Forestry, DraconicEvolution, Avaritia, dreamcraft]"
bartworkscrossmod,BartWorks Mod Additions,5.09.52.594,false,RESTART,"[IC2, gregtech, bartworks, GalacticraftMars, GalacticraftCore, Micdoodlecore, miscutils, EMT, tectech]"
detravscannermod,GT Scanner Mod,5.09.52.594,false,RESTART,"[IC2, gregtech, miscutils, bartworks]"
galacticgreg,Galactic Greg,5.09.52.594,false,DEPENDENCIES,"[GalacticraftCore, gregtech@5.09.32.30]"
kekztech,KekzTech,5.09.52.594,false,RESTART,"[IC2, gregtech, tectech, Thaumcraft, ThaumicTinkerer, bartworks, dreamcraft]"
ToxicEverglades,GregTech ToxicEverglades,5.09.52.594,false,RESTART,"[Forge, dreamcraft, IC2, gregtech, miscutils]"
TaintedMagic,Tainted Magic,r7.6,false,DEPENDENCIES,"[Forge@[10.13.2.1291,), gtnhlib@[0.9.41,), Thaumcraft@[4.2.3.5,), ThaumicTinkerer]"
thaumicbases,Thaumic Bases,1.9.18,false,RESTART,"[Thaumcraft@[4.2.3.5,), Baubles@[1.0.1.10,), DummyCore@[1.6,)]"
ThaumicExploration,Thaumic Exploration,1.5.24-GTNH,false,RESTART,"[Thaumcraft, ThaumicTinkerer]"
