Item,Meta,CropCard
harvestcraft:blackberryItem,0,cropsnh:blackberry
harvestcraft:blackberryseedItem,0,cropsnh:blackberry
harvestcraft:blueberryItem,0,cropsnh:blueberry
harvestcraft:blueberryseedItem,0,cropsnh:blueberry
harvestcraft:chilipepperItem,0,cropsnh:chilly
harvestcraft:chilipepperseedItem,0,cropsnh:chilly
harvestcraft:coffeebeanItem,0,cropsnh:coffee
harvestcraft:cottonItem,0,cropsnh:cotton
harvestcraft:cottonseedItem,0,cropsnh:cotton
harvestcraft:cucumberItem,0,cropsnh:cucumber
harvestcraft:cucumberseedItem,0,cropsnh:cucumber
harvestcraft:garlicItem,0,cropsnh:garlic
harvestcraft:gooseberryItem,0,cropsnh:maloberry
harvestcraft:grapeItem,0,cropsnh:grape
harvestcraft:grapeseedItem,0,cropsnh:grape
harvestcraft:lemonItem,0,cropsnh:lemon
harvestcraft:onionItem,0,cropsnh:onion
harvestcraft:onionseedItem,0,cropsnh:onion
harvestcraft:pamlemonSapling,0,cropsnh:lemon
harvestcraft:raspberryItem,0,cropsnh:raspberry
harvestcraft:raspberryseedItem,0,cropsnh:raspberry
harvestcraft:strawberryItem,0,cropsnh:strawberry
harvestcraft:strawberryseedItem,0,cropsnh:strawberry
harvestcraft:teaseedItem,0,cropsnh:tea
harvestcraft:tomatoItem,0,cropsnh:tomato
harvestcraft:tomatoseedItem,0,cropsnh:tomato
harvestcraft:turnipItem,0,cropsnh:turnip
harvestcraft:turnipseedItem,0,cropsnh:turnip
minecraft:brown_mushroom,0,cropsnh:brownMushroom
minecraft:cactus,0,cropsnh:cactus
minecraft:carrot,0,cropsnh:carrot
minecraft:dye,3,cropsnh:cocoa
minecraft:egg,0,cropsnh:eggPlant
minecraft:melon_seeds,0,cropsnh:melon
minecraft:nether_wart,0,cropsnh:netherwart
minecraft:potato,0,cropsnh:potato
minecraft:pumpkin_seeds,0,cropsnh:pumpkin
minecraft:red_flower,0,cropsnh:poppy
minecraft:red_flower,1,cropsnh:blueOrchid
minecraft:red_flower,2,cropsnh:allium
minecraft:red_flower,3,cropsnh:azureBluet
minecraft:red_flower,4,cropsnh:redTulip
minecraft:red_flower,5,cropsnh:orangeTulip
minecraft:red_flower,6,cropsnh:whiteTulip
minecraft:red_flower,7,cropsnh:pinkTulip
minecraft:red_flower,8,cropsnh:oxeyeDaisy
minecraft:red_mushroom,0,cropsnh:redMushroom
minecraft:reeds,0,cropsnh:sugarCane
minecraft:sapling,0,cropsnh:bonsaiOak
minecraft:sapling,1,cropsnh:bonsaiSpruce
minecraft:sapling,2,cropsnh:bonsaiBirch
minecraft:sapling,3,cropsnh:bonsaiJungle
minecraft:sapling,4,cropsnh:bonsaiAcacia
minecraft:sapling,5,cropsnh:bonsaiDarkOak
minecraft:vine,0,cropsnh:vine
minecraft:waterlily,0,cropsnh:waterLily
minecraft:wheat_seeds,0,cropsnh:wheat
minecraft:yellow_flower,0,cropsnh:dandelion
witchery:embermoss,0,cropsnh:emberMoss
witchery:garlic,*,cropsnh:garlic
witchery:glintweed,0,cropsnh:glintWeed
witchery:seedsartichoke,0,cropsnh:waterArtichoke
witchery:seedsbelladonna,0,cropsnh:belladonna
witchery:seedsmandrake,0,cropsnh:mandrake
witchery:seedssnowbell,0,cropsnh:snowbell
witchery:seedswolfsbane,0,cropsnh:wolfsbane
witchery:spanishmoss,0,cropsnh:spanishMoss
