ItemStack Display Name,Item Unlocalized Name,Item Numerical ID,Meta,Aspect List
双重彩色玻璃板,item.itemPlateDoubleChromaticGlass,8445,0,2xVitreus;1xFabrico;1xPrimordium
氢气管道,tile.hydrogenPipe,756,0,1xMetallum;1xGelum;1xVitreus;1xPermutatio
热星体钛锭,item.itemHotIngotAstralTitanium,8392,0,2xMetallum;1xAstrum
彩色玻璃螺栓,item.itemBoltChromaticGlass,8446,0,1xInstrumentum
阿迪特锯刃,item.SawBladeArdite,5728,0,2xInstrumentum
蓝石粉,item.projectred.core.part.electrotine_dust,11589,56,1xPerditio;2xElectrum
绿橄榄石,item.projectred.core.part.gemperidot,11589,39,2xVitreus;2xLucrum
蓝宝石,item.projectred.core.part.gemsapphire,11589,38,2xVitreus;2xLucrum
红宝石,item.projectred.core.part.gemruby,11589,37,2xVitreus;2xLucrum
红石合金锭,item.projectred.core.part.red_ingot,11589,10,1xMetallum;3xMachina
银锭,item.projectred.core.part.silver_ingot,11589,54,3xMetallum;1xLucrum
锡锭,item.projectred.core.part.tin_ingot,11589,53,3xMetallum;1xVitreus
铜锭,item.projectred.core.part.copper_ingot,11589,52,3xMetallum;1xPermutatio
生菜,item.lettuceItem,6969,0,2xMessis;1xFames
铋板金属,gt.sheetmetal.90,3058,90,2xMetallum;1xInstrumentum
时空板金属,gt.sheetmetal.588,3058,588,1xAqua
奥利哈钢板金属,gt.sheetmetal.393,3058,393,2xMetallum;2xLucrum;1xAlienis
玛玉灵板金属,gt.sheetmetal.386,3058,386,2xStrontio
末影粗胚板金属,gt.sheetmetal.380,3058,380,2xMetallum;1xAlienis
锡铁合金板金属,gt.sheetmetal.363,3058,363,2xMetallum;1xInstrumentum
骑士金属板金属,gt.sheetmetal.362,3058,362,1xLucrum;2xMetallum
二氧化铬板金属,gt.sheetmetal.361,3058,361,2xMetallum;1xMachina
铜板金属,gt.sheetmetal.35,3058,35,2xMetallum;1xPermutatio
磁化钕板金属,gt.sheetmetal.356,3058,356,1xMetallum;3xMagneto
磁化钢板金属,gt.sheetmetal.355,3058,355,1xMetallum;1xOrdo;1xMagneto
磁化铁板金属,gt.sheetmetal.354,3058,354,2xMetallum;1xMagneto
炽热的钢板金属,gt.sheetmetal.346,3058,346,3xPraecantatio;3xIgnis;3xCorpus
陨钢板金属,gt.sheetmetal.341,3058,341,2xMetallum;1xMagneto;1xOrdo
陨铁板金属,gt.sheetmetal.340,3058,340,2xMetallum;1xMagneto
钢叶板金属,gt.sheetmetal.339,3058,339,2xHerba;2xMetallum;1xPraecantatio
铯板金属,gt.sheetmetal.62,3058,62,2xMetallum;1xRadio
神秘板金属,gt.sheetmetal.330,3058,330,2xMetallum;1xPraecantatio
三钛板金属,gt.sheetmetal.329,3058,329,2xMetallum;2xOrdo
超能硅岩板金属,gt.sheetmetal.327,3058,327,4xMetallum;3xRadio;3xNebrisum
富集硅岩板金属,gt.sheetmetal.326,3058,326,3xMetallum;2xRadio;2xNebrisum
硅岩合金板金属,gt.sheetmetal.325,3058,325,4xMetallum;1xNebrisum
硅岩板金属,gt.sheetmetal.324,3058,324,1xRadio;1xNebrisum;3xMetallum
末影（te）板金属,gt.sheetmetal.321,3058,321,2xMetallum;1xAlienis
蓝色合金板金属,gt.sheetmetal.309,3058,309,3xElectrum
红色合金板金属,gt.sheetmetal.308,3058,308,3xMachina
钢板金属,gt.sheetmetal.305,3058,305,2xMetallum;1xOrdo
殷钢板金属,gt.sheetmetal.302,3058,302,2xMetallum;1xGelum
黄铜板金属,gt.sheetmetal.301,3058,301,2xMetallum;1xInstrumentum
青铜板金属,gt.sheetmetal.300,3058,300,2xMetallum;1xInstrumentum
源质钢板金属,gt.sheetmetal.203,3058,203,3xMetallum;2xPraecantatio;1xAuram
泰拉钢板金属,gt.sheetmetal.202,3058,202,2xMetallum;1xTerra;1xPraecantatio
魔力钢板金属,gt.sheetmetal.201,3058,201,3xMetallum;1xPraecantatio
ZPM超导粗胚板金属,gt.sheetmetal.992,3058,992,18xElectrum
LuV超导粗胚板金属,gt.sheetmetal.991,3058,991,15xElectrum
IV超导粗胚板金属,gt.sheetmetal.990,3058,990,12xElectrum
EV超导粗胚板金属,gt.sheetmetal.989,3058,989,9xElectrum
HV超导粗胚板金属,gt.sheetmetal.988,3058,988,6xElectrum
MV超导粗胚板金属,gt.sheetmetal.987,3058,987,3xElectrum
UV超导粗胚板金属,gt.sheetmetal.986,3058,986,21xElectrum
UHV超导粗胚板金属,gt.sheetmetal.985,3058,985,24xElectrum
板金属,gt.sheetmetal.984,3058,984,2xMetallum;3xRadio
超时空金属板金属,gt.sheetmetal.581,3058,581,1xAqua
注血铁板金属,gt.sheetmetal.977,3058,977,3xMetallum;1xPraecantatio
UEV超导粗胚板金属,gt.sheetmetal.974,3058,974,27xElectrum
虚空金属板金属,gt.sheetmetal.970,3058,970,1xVacuos
创律合金板金属,gt.sheetmetal.149,3058,149,1xSensus
灿茶合金板金属,gt.sheetmetal.148,3058,148,1xSensus
六相铜板金属,gt.sheetmetal.147,3058,147,1xIter
UMV超导粗胚板金属,gt.sheetmetal.134,3058,134,40xElectrum
温特姆板金属,gt.sheetmetal.529,3058,529,2xVitreus;1xPraecantatio
UIV超导粗胚板金属,gt.sheetmetal.131,3058,131,34xElectrum
中子板金属,gt.sheetmetal.129,3058,129,4xMetallum;3xVitreus;2xAlienis
力量板金属,gt.sheetmetal.521,3058,521,5xPotentia
谐镃板金属,gt.sheetmetal.112,3058,112,4xMagneto;1xElectrum
纯镃板金属,gt.sheetmetal.111,3058,111,2xMagneto;2xElectrum
镅板金属,gt.sheetmetal.103,3058,103,2xMetallum;1xRadio
钚-241板金属,gt.sheetmetal.101,3058,101,2xMetallum;3xRadio
钚-239板金属,gt.sheetmetal.100,3058,100,2xMetallum;2xRadio
铀-238板金属,gt.sheetmetal.98,3058,98,2xMetallum;1xRadio
铀-235板金属,gt.sheetmetal.97,3058,97,2xMetallum;2xRadio
钍板金属,gt.sheetmetal.96,3058,96,2xMetallum;1xRadio
戴斯板金属,gt.sheetmetal.884,3058,884,2xMetallum;1xAlienis
铅板金属,gt.sheetmetal.89,3058,89,2xMetallum;1xOrdo
金板金属,gt.sheetmetal.86,3058,86,2xMetallum;2xLucrum
铂板金属,gt.sheetmetal.85,3058,85,2xMetallum;1xNebrisum
铱板金属,gt.sheetmetal.84,3058,84,1xMachina;2xMetallum
锇板金属,gt.sheetmetal.83,3058,83,2xMetallum;1xMachina;1xNebrisum
钨板金属,gt.sheetmetal.81,3058,81,3xMetallum;1xTutamen
钽板金属,gt.sheetmetal.80,3058,80,2xMetallum;1xVinculum
镥板金属,gt.sheetmetal.78,3058,78,2xMetallum;1xRadio
镱板金属,gt.sheetmetal.77,3058,77,2xMetallum;1xRadio
铥板金属,gt.sheetmetal.76,3058,76,2xMetallum;1xRadio
铒板金属,gt.sheetmetal.75,3058,75,2xMetallum;1xRadio
钬板金属,gt.sheetmetal.74,3058,74,2xMetallum;1xRadio
镝板金属,gt.sheetmetal.73,3058,73,3xMetallum
铽板金属,gt.sheetmetal.72,3058,72,2xMetallum;1xRadio
钆板金属,gt.sheetmetal.71,3058,71,2xMetallum;1xRadio
铕板金属,gt.sheetmetal.70,3058,70,2xMetallum;1xRadio
钐板金属,gt.sheetmetal.69,3058,69,2xMetallum;1xRadio;10xMagneto
钷板金属,gt.sheetmetal.68,3058,68,2xMetallum;1xRadio
钕板金属,gt.sheetmetal.67,3058,67,2xMetallum;2xMagneto
镨板金属,gt.sheetmetal.66,3058,66,2xMetallum;1xRadio
铈板金属,gt.sheetmetal.65,3058,65,2xMetallum;1xRadio
镧板金属,gt.sheetmetal.64,3058,64,2xMetallum;1xRadio
钡板金属,gt.sheetmetal.63,3058,63,3xVinculum
太阳能级硅（多晶硅）板金属,gt.sheetmetal.856,3058,856,4xMetallum;2xTenebrae
碲板金属,gt.sheetmetal.59,3058,59,1xRadio;2xMetallum
锑板金属,gt.sheetmetal.58,3058,58,2xMetallum;1xAqua
锡板金属,gt.sheetmetal.57,3058,57,2xMetallum;1xVitreus
铟板金属,gt.sheetmetal.56,3058,56,2xMetallum;1xRadio
银板金属,gt.sheetmetal.54,3058,54,1xLucrum;2xMetallum
钯板金属,gt.sheetmetal.52,3058,52,3xMetallum
钼板金属,gt.sheetmetal.48,3058,48,2xMetallum;1xInstrumentum
铌板金属,gt.sheetmetal.47,3058,47,2xMetallum;1xElectrum
钇板金属,gt.sheetmetal.45,3058,45,2xMetallum;1xRadio
锶板金属,gt.sheetmetal.44,3058,44,2xMetallum;1xStrontio
铷板金属,gt.sheetmetal.43,3058,43,2xMetallum;1xVitreus
砷板金属,gt.sheetmetal.39,3058,39,3xVenenum
镓板金属,gt.sheetmetal.37,3058,37,2xMetallum;1xElectrum
锌板金属,gt.sheetmetal.36,3058,36,2xMetallum;1xSano
深渊铁板金属,gt.sheetmetal.829,3058,829,2xMetallum;1xMagneto
镍板金属,gt.sheetmetal.34,3058,34,2xMetallum;1xIgnis
钴板金属,gt.sheetmetal.33,3058,33,2xMetallum;1xInstrumentum
铁板金属,gt.sheetmetal.32,3058,32,3xMetallum
锰板金属,gt.sheetmetal.31,3058,31,3xMetallum
铬板金属,gt.sheetmetal.30,3058,30,2xMetallum;1xMachina
钒板金属,gt.sheetmetal.29,3058,29,2xMetallum;1xRadio
钛板金属,gt.sheetmetal.28,3058,28,2xMetallum;1xTutamen
钪板金属,gt.sheetmetal.27,3058,27,2xMetallum;1xRadio
钾板金属,gt.sheetmetal.25,3058,25,1xVitreus;1xPotentia
生硅板金属,gt.sheetmetal.20,3058,20,2xMetallum;1xTenebrae
铝板金属,gt.sheetmetal.19,3058,19,2xMetallum;1xVolatus
镁板金属,gt.sheetmetal.18,3058,18,2xMetallum;1xSano
铍板金属,gt.sheetmetal.8,3058,8,2xMetallum;1xLucrum
锂板金属,gt.sheetmetal.6,3058,6,1xVitreus;2xPotentia
锌曜钢板金属,gt.sheetmetal.400,3058,400,2xStrontio
磁化钐板金属,gt.sheetmetal.399,3058,399,2xMetallum;1xRadio;10xMagneto
黑物质螺栓,item.itemBoltBlackMetal,8461,0,1xInstrumentum
蓝莓,item.blueberryItem,7003,0,2xMessis;1xFames
雪压力板,tile.witchery:snowpressureplate,2385,0,1xGelum;1xAqua;1xMachina
荸荠作物,tile.pamwaterchestnutCrop,2976,0,2xMessis;1xAqua
高塔蛋糕,item.experiment115,6492,32767,3xFames;1xMachina
高塔蛋糕,item.experiment115,6492,0,5xMessis;4xFames;2xFabrico;1xAlienis
火成岩,item.igneousRock,4887,0,2xPotentia;10xIgnis;1xTerra
剪枝器,item.for.grafter,5029,32767,2xMetallum;1xArbor;0xInstrumentum
剪枝器,item.for.grafter,5029,0,2xMetallum;1xArbor;1xInstrumentum
远古残骸,tile.etfuturum.ancient_debris,2470,0,4xMetallum;2xInfernus;1xTerra
重型装甲板,item.heavyPlating,4718,0,6xMetallum;2xOrdo;2xVolatus;1xInstrumentum
幽魂石,item.witchery:spectralstone,6578,0,3xVitreus;4xVinculum
棕榈木台阶,tile.woodenSingleSlab1.palmSlab,933,32767,1xArbor
幼体,item.for.beeLarvaeGE,5006,0,2xVictus;5xPermutatio
压缩蒸汽螺栓,gt.bwMetaGeneratedbolt.25109,11726,25109,1xPerditio
星门螺栓,gt.bwMetaGeneratedbolt.25201,11726,25201,1xPerditio
錭錤錶螺栓,gt.bwMetaGeneratedbolt.25200,11726,25200,1xPerditio
极不稳定硅岩螺栓,gt.bwMetaGeneratedbolt.10024,11726,10024,1xPerditio
原子分离催化剂螺栓,gt.bwMetaGeneratedbolt.10022,11726,10022,1xPerditio
青铁螺栓,gt.bwMetaGeneratedbolt.25111,11726,25111,1xPerditio
信素螺栓,gt.bwMetaGeneratedbolt.10099,11726,10099,1xPerditio
流明螺栓,gt.bwMetaGeneratedbolt.10101,11726,10101,1xPerditio
阿瑟锡螺栓,gt.bwMetaGeneratedbolt.10102,11726,10102,1xPerditio
钛钼合金β-C螺栓,gt.bwMetaGeneratedbolt.10103,11726,10103,1xPerditio
大力合金螺栓,gt.bwMetaGeneratedbolt.10104,11726,10104,1xPerditio
光素螺栓,gt.bwMetaGeneratedbolt.10105,11726,10105,1xPerditio
对立合金螺栓,gt.bwMetaGeneratedbolt.10106,11726,10106,1xPerditio
稀有金属合金螺栓,gt.bwMetaGeneratedbolt.10109,11726,10109,1xPerditio
富集硅岩合金螺栓,gt.bwMetaGeneratedbolt.10110,11726,10110,1xPerditio
亚稳态鿫螺栓,gt.bwMetaGeneratedbolt.10111,11726,10111,1xPerditio
μ合金螺栓,gt.bwMetaGeneratedbolt.11351,11726,11351,1xPerditio
IrOsSm螺栓,gt.bwMetaGeneratedbolt.12320,11726,12320,1xPerditio
阿岱姆钢螺栓,gt.bwMetaGeneratedbolt.96,11726,96,1xPerditio
调律源金螺栓,gt.bwMetaGeneratedbolt.10112,11726,10112,1xPerditio
高耐久性复合钢螺栓,gt.bwMetaGeneratedbolt.92,11726,92,1xPerditio
青钢螺栓,gt.bwMetaGeneratedbolt.25110,11726,25110,1xPerditio
钌铱合金螺栓,gt.bwMetaGeneratedbolt.90,11726,90,1xPerditio
泰伯利亚螺栓,gt.bwMetaGeneratedbolt.89,11726,89,1xPerditio
镀铑钯螺栓,gt.bwMetaGeneratedbolt.88,11726,88,1xPerditio
铑螺栓,gt.bwMetaGeneratedbolt.78,11726,78,1xPerditio
鿭螺栓,gt.bwMetaGeneratedbolt.25094,11726,25094,1xPerditio
铹螺栓,gt.bwMetaGeneratedbolt.25093,11726,25093,1xPerditio
锘螺栓,gt.bwMetaGeneratedbolt.25092,11726,25092,1xPerditio
钔螺栓,gt.bwMetaGeneratedbolt.25091,11726,25091,1xPerditio
锿螺栓,gt.bwMetaGeneratedbolt.25090,11726,25090,1xPerditio
锫螺栓,gt.bwMetaGeneratedbolt.25089,11726,25089,1xPerditio
钫螺栓,gt.bwMetaGeneratedbolt.25088,11726,25088,1xPerditio
鿬螺栓,gt.bwMetaGeneratedbolt.25087,11726,25087,1xPerditio
砹螺栓,gt.bwMetaGeneratedbolt.25086,11726,25086,1xPerditio
𫟷螺栓,gt.bwMetaGeneratedbolt.25085,11726,25085,1xPerditio
镆螺栓,gt.bwMetaGeneratedbolt.25084,11726,25084,1xPerditio
钌螺栓,gt.bwMetaGeneratedbolt.64,11726,64,1xPerditio
𬬭螺栓,gt.bwMetaGeneratedbolt.25082,11726,25082,1xPerditio
𫟼螺栓,gt.bwMetaGeneratedbolt.25081,11726,25081,1xPerditio
鿏螺栓,gt.bwMetaGeneratedbolt.25080,11726,25080,1xPerditio
𬭶螺栓,gt.bwMetaGeneratedbolt.25079,11726,25079,1xPerditio
𬭛螺栓,gt.bwMetaGeneratedbolt.25078,11726,25078,1xPerditio
锝螺栓,gt.bwMetaGeneratedbolt.25077,11726,25077,1xPerditio
𬭳螺栓,gt.bwMetaGeneratedbolt.25076,11726,25076,1xPerditio
𬭊螺栓,gt.bwMetaGeneratedbolt.25075,11726,25075,1xPerditio
𬬻螺栓,gt.bwMetaGeneratedbolt.25074,11726,25074,1xPerditio
锕螺栓,gt.bwMetaGeneratedbolt.25073,11726,25073,1xPerditio
HSLA钢螺栓,gt.bwMetaGeneratedbolt.25072,11726,25072,1xPerditio
二硅化钼螺栓,gt.bwMetaGeneratedbolt.25071,11726,25071,1xPerditio
MAR-Ce-M200特种钢螺栓,gt.bwMetaGeneratedbolt.10097,11726,10097,1xPerditio
MAR-M200特种钢螺栓,gt.bwMetaGeneratedbolt.10096,11726,10096,1xPerditio
精金合金螺栓,gt.bwMetaGeneratedbolt.10085,11726,10085,1xPerditio
耐热铬铁合金-903螺栓,gt.bwMetaGeneratedbolt.10084,11726,10084,1xPerditio
锆锡合金-2螺栓,gt.bwMetaGeneratedbolt.10083,11726,10083,1xPerditio
锆锡合金-4螺栓,gt.bwMetaGeneratedbolt.10082,11726,10082,1xPerditio
聚醚醚酮螺栓,gt.bwMetaGeneratedbolt.25047,11726,25047,1xPerditio
锗-钨氮化物螺栓,gt.bwMetaGeneratedbolt.25046,11726,25046,1xPerditio
聚酰亚胺螺栓,gt.bwMetaGeneratedbolt.25041,11726,25041,1xPerditio
鿔螺栓,gt.bwMetaGeneratedbolt.25083,11726,25083,1xPerditio
ABS塑料螺栓,gt.bwMetaGeneratedbolt.25024,11726,25024,1xPerditio
灼热玻璃,tile.glass.heat,761,1,<empty>
灵魂玻璃,tile.glass.soul,761,0,<empty>
甲烷气体罐（满）,item.methaneCanister,4746,1,4xMetallum;2xOrdo
双重阿岱姆钢板,gt.bwMetaGeneratedplateDouble.96,11733,96,2xOrdo;2xVitreus;2xIgnis;4xMetallum
双重ABS塑料板,gt.bwMetaGeneratedplateDouble.25024,11733,25024,<empty>
双重精金合金板,gt.bwMetaGeneratedplateDouble.10085,11733,10085,2xRadio;2xNebrisum;10xMetallum
双重高耐久性复合钢板,gt.bwMetaGeneratedplateDouble.92,11733,92,2xTenebrae;2xMachina;2xMagneto;6xRadio;2xOrdo;12xMetallum;2xAer;2xInstrumentum
双重钌铱合金板,gt.bwMetaGeneratedplateDouble.90,11733,90,2xMachina;4xMetallum
双重聚醚醚酮板,gt.bwMetaGeneratedplateDouble.25047,11733,25047,<empty>
双重镀铑钯板,gt.bwMetaGeneratedplateDouble.88,11733,88,6xMetallum
双重青铁板,gt.bwMetaGeneratedplateDouble.25111,11733,25111,<empty>
双重青钢板,gt.bwMetaGeneratedplateDouble.25110,11733,25110,<empty>
双重压缩蒸汽板,gt.bwMetaGeneratedplateDouble.25109,11733,25109,<empty>
双重星门板,gt.bwMetaGeneratedplateDouble.25201,11733,25201,<empty>
双重錭錤錶板,gt.bwMetaGeneratedplateDouble.25200,11733,25200,<empty>
双重鿭板,gt.bwMetaGeneratedplateDouble.25094,11733,25094,<empty>
双重铹板,gt.bwMetaGeneratedplateDouble.25093,11733,25093,<empty>
双重锘板,gt.bwMetaGeneratedplateDouble.25092,11733,25092,<empty>
双重钔板,gt.bwMetaGeneratedplateDouble.25091,11733,25091,<empty>
双重锿板,gt.bwMetaGeneratedplateDouble.25090,11733,25090,<empty>
双重锫板,gt.bwMetaGeneratedplateDouble.25089,11733,25089,<empty>
双重钫板,gt.bwMetaGeneratedplateDouble.25088,11733,25088,<empty>
双重鿬板,gt.bwMetaGeneratedplateDouble.25087,11733,25087,<empty>
双重砹板,gt.bwMetaGeneratedplateDouble.25086,11733,25086,<empty>
双重𫟷板,gt.bwMetaGeneratedplateDouble.25085,11733,25085,<empty>
双重镆板,gt.bwMetaGeneratedplateDouble.25084,11733,25084,<empty>
双重鿔板,gt.bwMetaGeneratedplateDouble.25083,11733,25083,<empty>
双重𬬭板,gt.bwMetaGeneratedplateDouble.25082,11733,25082,<empty>
双重𫟼板,gt.bwMetaGeneratedplateDouble.25081,11733,25081,<empty>
双重鿏板,gt.bwMetaGeneratedplateDouble.25080,11733,25080,<empty>
双重𬭶板,gt.bwMetaGeneratedplateDouble.25079,11733,25079,<empty>
双重𬭛板,gt.bwMetaGeneratedplateDouble.25078,11733,25078,<empty>
双重锝板,gt.bwMetaGeneratedplateDouble.25077,11733,25077,<empty>
双重𬭳板,gt.bwMetaGeneratedplateDouble.25076,11733,25076,<empty>
双重𬭊板,gt.bwMetaGeneratedplateDouble.25075,11733,25075,<empty>
双重𬬻板,gt.bwMetaGeneratedplateDouble.25074,11733,25074,<empty>
双重锕板,gt.bwMetaGeneratedplateDouble.25073,11733,25073,<empty>
双重HSLA钢板,gt.bwMetaGeneratedplateDouble.25072,11733,25072,2xTutamen;2xRadio;2xGelum;2xInstrumentum;4xMetallum
双重二硅化钼板,gt.bwMetaGeneratedplateDouble.25071,11733,25071,2xTenebrae;2xInstrumentum;4xMetallum
双重极不稳定硅岩板,gt.bwMetaGeneratedplateDouble.10024,11733,10024,<empty>
双重原子分离催化剂板,gt.bwMetaGeneratedplateDouble.10022,11733,10022,6xRadio;2xNebrisum;10xMetallum
双重调律源金板,gt.bwMetaGeneratedplateDouble.10112,11733,10112,<empty>
双重亚稳态鿫板,gt.bwMetaGeneratedplateDouble.10111,11733,10111,<empty>
双重富集硅岩合金板,gt.bwMetaGeneratedplateDouble.10110,11733,10110,4xRadio;4xNebrisum;4xOrdo;10xMetallum
双重稀有金属合金板,gt.bwMetaGeneratedplateDouble.10109,11733,10109,2xMachina;2xNebrisum;10xMetallum
双重锗-钨氮化物板,gt.bwMetaGeneratedplateDouble.25046,11733,25046,<empty>
双重对立合金板,gt.bwMetaGeneratedplateDouble.10106,11733,10106,2xTutamen;8xRadio;18xMetallum;6xNebrisum;2xVitreus;2xIgnis
双重聚酰亚胺板,gt.bwMetaGeneratedplateDouble.25041,11733,25041,<empty>
双重MAR-Ce-M200特种钢板,gt.bwMetaGeneratedplateDouble.10097,11733,10097,2xTutamen;2xElectrum;2xMachina;2xRadio;2xVolatus;2xInstrumentum;10xMetallum;2xIgnis
双重MAR-M200特种钢板,gt.bwMetaGeneratedplateDouble.10096,11733,10096,2xTutamen;2xElectrum;2xMachina;2xVolatus;2xInstrumentum;10xMetallum;2xIgnis
双重μ合金板,gt.bwMetaGeneratedplateDouble.11351,11733,11351,2xMachina;2xPermutatio;2xInstrumentum;10xMetallum;2xIgnis
海珀珍箔,item.itemFoilHypogen,8202,0,1xFabrico
黑色混凝土,tile.etfuturum.black_concrete,2498,32767,3xTerra;2xPerditio;1xAqua;1xOrdo
生命符咒 II,item.charmOfLife2,6485,0,64xSano;64xOrdo;32xPraecantatio;32xVictus;4xLucrum
特伦特雕像,tile.witchery:trent,2419,0,1xVinculum;2xArbor;2xMachina
骑士金属块,tile.KnightmetalBlock,2013,32767,12xMetallum;12xOrdo
骑士金属块,tile.KnightmetalBlock,2013,0,18xMetallum;9xLucrum
芜菁种子,item.turnipseedItem,6939,0,1xHerba
山楂木,tile.etfuturum.witchery_hawthorn_wood,2496,2,4xArbor
赤杨木,tile.etfuturum.witchery_alder_wood,2496,1,4xArbor
山梨木,tile.etfuturum.witchery_rowan_wood,2496,0,4xArbor
30k冷却单元,ic2.reactorCoolantTriple,4206,1,8xGelum;4xMetallum;4xVitreus
银奇点,item.singularity_silver,6218,8,3xTerminus;100xMetallum
铅奇点,item.singularity_lead,6218,7,3xTerminus;100xMetallum
锡奇点,item.singularity_tin,6218,6,3xTerminus;100xMetallum
铜奇点,item.singularity_copper,6218,5,3xTerminus;100xMetallum
下界石英奇点,item.singularity_quartz,6218,4,3xTerminus;100xVitreus;100xOrdo
红石奇点,item.singularity_redstone,6218,3,3xTerminus;100xMachina;100xPotentia
青金石奇点,item.singularity_lapis,6218,2,3xTerminus;100xSensus
金奇点,item.singularity_gold,6218,1,3xTerminus;100xMetallum;100xLucrum
铁奇点,item.singularity_iron,6218,0,3xTerminus;100xMetallum
分类树原木,tile.TFMagicLog.3,1979,32767,4xArbor
胡椒,tile.pamPeppercorn,2908,0,3xMessis
锔粉,item.itemDustCurium,8333,0,2xMetallum;1xPerditio;1xRadio
向日葵,tile.doublePlant.sunflower,175,32767,1xHerba;1xAer
纤毛菇,tile.blockCustomPlant.5,238,5,2xHerba;1xVenenum;2xPraecantatio
火焰草,tile.blockCustomPlant.3,238,3,2xHerba;2xIgnis;2xPraecantatio
水银花,tile.blockCustomPlant.2,238,2,2xHerba;2xPermutatio;2xPraecantatio
银树树苗,tile.blockCustomPlant.1,238,1,2xHerba;1xArbor;1xPraecantatio
宏伟之木树苗,tile.blockCustomPlant.0,238,0,2xHerba;1xArbor;1xPraecantatio
磁共振石板,gt.bwMetaGeneratedplate.36,11716,36,1xTenebrae;1xMagneto;1xRadio;1xOrdo;6xMetallum;1xAer;1xInstrumentum
锕板,gt.bwMetaGeneratedplate.25073,11716,25073,<empty>
𬬻板,gt.bwMetaGeneratedplate.25074,11716,25074,<empty>
压缩蒸汽板,gt.bwMetaGeneratedplate.25109,11716,25109,<empty>
青铁板,gt.bwMetaGeneratedplate.25111,11716,25111,<empty>
錭錤錶板,gt.bwMetaGeneratedplate.25200,11716,25200,<empty>
极不稳定硅岩板,gt.bwMetaGeneratedplate.10024,11716,10024,<empty>
合成玉板,gt.bwMetaGeneratedplate.10023,11716,10023,<empty>
原子分离催化剂板,gt.bwMetaGeneratedplate.10022,11716,10022,3xRadio;1xNebrisum;5xMetallum
聚酰亚胺板,gt.bwMetaGeneratedplate.25041,11716,25041,<empty>
铪板,gt.bwMetaGeneratedplate.11000,11716,11000,<empty>
堇云石板,gt.bwMetaGeneratedplate.35,11716,35,1xTenebrae;1xAer;5xMetallum
青钢板,gt.bwMetaGeneratedplate.25110,11716,25110,<empty>
