ID,Name,Unlocalised Name,Flavour Text,Unlocalized Flavour Text,Creator,Color 1,Color 2,Seed Shape,Render Shape,Soil Type,Tier,Min Seed Bed Tier,Liked Biomes,Growth Duration,Breeding Threshold,Crossing Threshold,Starts Spreading Weeds If Growth Above,Growth Requirements,Drop Count Multiplier,Drop Table,Alternate Seeds
cropsnh:bonsaiBirch,盆栽白桦,cropsnh_crops.bonsaiBirch,,,Notch,0xFFCFE3BA,0xFF648D38,bonsai,X,dirt,1,-1,"HILLS, FOREST",1200,0.8,0.8,24,,0.95,1 x 白桦树苗 @ 30.0% | 10 x 白桦原木 @ 60.0%,白桦树苗
cropsnh:bonsaiDarkOak,盆栽深色橡树,cropsnh_crops.bonsaiDarkOak,,,Notch,0xFF684C29,0xFF459633,bonsai,X,dirt,1,-1,"SPOOKY, DENSE, FOREST",1200,0.8,0.8,24,,0.95,2 x 苹果 @ 5.0% | 1 x 深色橡树树苗 @ 30.0% | 10 x 深色橡木原木 @ 60.0%,深色橡树树苗
cropsnh:bonsaiJungle,盆栽丛林树,cropsnh_crops.bonsaiJungle,,,Notch,0xFF393D0D,0xFF378020,bonsai,X,dirt,1,-1,"HOT, DENSE, JUNGLE, WET",1200,0.8,0.8,24,,0.95,1 x 丛林树苗 @ 30.0% | 10 x 丛林原木 @ 60.0%,丛林树苗
cropsnh:bonsaiOak,盆栽橡树,cropsnh_crops.bonsaiOak,,,Notch,0xFF7F6139,0xFF57AD3F,bonsai,X,dirt,1,-1,"PLAINS, HILLS, FOREST",1200,0.8,0.8,24,,0.95,2 x 苹果 @ 5.0% | 1 x 橡树树苗 @ 30.0% | 10 x 橡木原木 @ 60.0%,橡树树苗
cropsnh:bonsaiRubber,盆栽橡胶树,cropsnh_crops.bonsaiRubber,,,Alblaka,0xFF50361A,0xFF6C815D,bonsai,X,dirt,1,-1,"CONIFEROUS, FOREST",1200,0.8,0.8,24,,0.95,2 x 粘性树脂 @ 5.0% | 1 x 橡胶树树苗 @ 30.0% | 10 x 橡胶树原木 @ 60.0%,橡胶树树苗
cropsnh:bonsaiSlimy,盆栽史莱姆树,cropsnh_crops.bonsaiSlimy,,,C0bra5,0xFF27C74D,0xFF96EEED,bonsai,X,dirt+slimy,1,-1,"SWAMP, WET",1200,0.8,0.8,24,,0.95,1 x 史莱姆树苗 @ 30.0% | 4 x 绿色凝固史莱姆块 @ 60.0%,史莱姆树苗
cropsnh:bonsaiSpruce,盆栽云杉,cropsnh_crops.bonsaiSpruce,,,Notch,0xFF50361A,0xFF395A39,bonsai,X,dirt,1,-1,"MOUNTAIN, CONIFEROUS, FOREST",1200,0.8,0.8,24,,0.95,1 x 云杉树苗 @ 30.0% | 10 x 云杉原木 @ 60.0%,云杉树苗
cropsnh:bopBerry,浆果,cropsnh_crops.bopBerry,,,bartimaeusnek,0xFFB33636,0xFFFF4C4C,vanilla,Hash,farmland,2,-1,"DENSE, FOREST",200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,3 x 浆果 @ 100.0%,浆果
cropsnh:brownMushroom,棕色蘑菇,cropsnh_crops.brownMushroom,,,Notch,0xFF8F4E1B,0xFFCC9978,spore,Hash,stone+dirt+mycelium,1,-1,"MUSHROOM, SWAMP, WET",400,0.8,0.8,24,需要亮度等级为 9 以下,0.95,1 x 蘑菇 @ 100.0%,蘑菇
cropsnh:cactus,仙人掌,tile.cactus.name,,,Notch,0xFF094210,0xFF117F20,grains,Hash,sand,3,-1,"HOT, SANDY, DRY",450,0.8,0.8,24,,0.857375,1 x 仙人掌 @ 100.0%,仙人掌
cropsnh:canola,油菜,cropsnh_crops.canola,,,CropsNH Team,0xFF627F40,0xFF6E8E48,vanilla,Hash,farmland,4,-1,"PLAINS, COLD",450,0.8,0.8,24,,0.81450623,1 x 油菜花 @ 100.0%,
cropsnh:carrot,胡萝卜,item.carrots.name,,,Notch,0xFFE58700,0xFFEEAE7D,vanilla,Hash,farmland,2,-1,"PLAINS, HOT, SANDY",800,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,1 x 胡萝卜 @ 100.0%,胡萝卜
cropsnh:cassitine,锡粉草,cropsnh_crops.cassitine,,,CropsNH Team,0xFF6C6C6C,0xFF7F7F7F,vanilla,Hash,stone,6,-1,"COLD, SPARSE, DRY",2800,0.8,0.8,24,需要在其下方放置锡块才能生长,0.73509187,1 x 小撮锡粉 @ 100.0%,
cropsnh:chilly,辣椒,cropsnh_crops.chilly,,,CropsNH Team,0xFF83090B,0xFFC8462A,vanilla,Hash,farmland,4,-1,"HOT, LUSH",800,0.8,0.8,24,需要亮度等级为 9 以上,0.81450623,1 x 辣椒 @ 100.0%,辣椒 | 辣椒 | 辣椒种子
cropsnh:cinderpearl,火焰草,cropsnh_crops.cinderpearl,,,bartimaeusnek and mitchej123,0xFFFF9611,0xFFFFD86F,magic,Hash,dirt,5,-1,"HOT, MAGICAL, DRY",4000,0.8,0.8,24,需要在其下方放置烈焰块才能生长,0.77378094,1 x 火焰草 @ 100.0%,火焰草
cropsnh:clayLily,黏土莲,cropsnh_crops.clayLily,,,C0bra5,0xFF666B7F,0xFFA5A9B9,vanilla,X,stone,1,-1,"SWAMP, RIVER, WET",850,0.8,0.8,24,需要在其下方放置黏土块或陶瓦才能生长,0.95,1 x 黏土 @ 100.0%,
cropsnh:cobaltOreBerry,钴矿莓,cropsnh_crops.cobaltOreBerry,,,bartimaeusnek,0xFF3737AD,0xFF5050FA,oreberry,Hash,stone,5,-1,"DRY, NETHER",6000,0.8,0.8,24,需要在其下方放置钴才能生长 | 需要亮度等级为 10 以下,0.77378094,1 x 钴粒 @ 100.0%,
cropsnh:cocoa,可可果,tile.cocoa.name,,,Notch,0xFF734120,0xFF976746,vanilla,Hash,farmland,3,-1,"LUSH, DENSE, JUNGLE, WET",1700,0.8,0.8,24,需要亮度等级为 9 以上,0.857375,1 x 可可豆 @ 100.0%,可可豆
cropsnh:coffee,咖啡,cropsnh_crops.coffee,,,CropsNH Team,0xFF3D1E00,0xFF964F05,grains,Hash,farmland,7,-1,"HOT, LUSH, WET",2800,0.8,0.8,24,需要亮度等级为 9 以上,0.6983373,1 x 咖啡 @ 100.0%,咖啡豆 | 咖啡
cropsnh:copperOreBerry,铜矿莓,cropsnh_crops.copperOreBerry,,,bartimaeusnek,0xFFA84D11,0xFFF26F18,oreberry,Hash,stone,5,-1,"SAVANNA, HOT, SANDY",6000,0.8,0.8,24,需要在其下方放置铜块才能生长 | 需要亮度等级为 10 以下,0.77378094,6 x 铜矿莓 @ 100.0%,铜矿莓
cropsnh:coppon,铜线草,cropsnh_crops.coppon,,,Mr. Brain,0xFFBE7000,0xFFD88000,vanilla,Hash,stone,6,-1,"SAVANNA, HOT, SANDY",1200,0.8,0.8,24,需要在其下方放置铜块才能生长,0.73509187,1 x 铜纤维 @ 100.0%,
cropsnh:corium,皮革叶,cropsnh_crops.corium,,,Gregorius Techneticies,0xFF542716,0xFFC65C35,vanilla,Hash,farmland,6,-1,"PLAINS, FOREST",800,0.8,0.8,24,,0.73509187,1 x 皮革 @ 100.0%,
cropsnh:corpseplant,尸骨草,cropsnh_crops.corpseplant,,,Mr. Kenny,0xFF551515,0xFFE32F2F,vanilla,Hash,graveyard,5,-1,"SPOOKY, DEAD",800,0.8,0.8,24,,0.77378094,1 x 骨头 @ 12.50% | 1 x 腐肉 @ 25.0% | 1 x 骨粉 @ 62.50%,
cropsnh:cotton,棉花,cropsnh_crops.cotton,,,bartimaeusnek,0xFFE366F5,0xFFFFC9FF,vanilla,X,farmland,3,-1,"HOT, DRY",900,0.8,0.8,24,需要亮度等级为 9 以上,0.857375,1 x 棉花 @ 100.0%,棉花 | 棉花 | 棉花种子 | 棉花种子
cropsnh:creeperweed,苦力怕草,cropsnh_crops.creeperweed,,,General Spaz,0xFF396B37,0xFF51984D,vanilla,Hash,farmland,7,-1,"SPOOKY, DEAD",1000,0.8,0.8,24,,0.6983373,1 x 火药 @ 100.0%,
cropsnh:cucumber,黄瓜,cropsnh_crops.cucumber,,,CropsNH Team,0xFF13260D,0xFF259038,vanilla,Hash,farmland,4,-1,"HOT, LUSH",800,0.8,0.8,24,需要亮度等级为 9 以上,0.81450623,1 x 黄瓜 @ 100.0%,黄瓜种子 | 黄瓜
cropsnh:dandelion,蒲公英,tile.flower1.dandelion.name,,,Notch,0xFF8E6B13,0xFFE7E769,flower,Hash,dirt,2,-1,"PLAINS, FOREST",600,0.8,0.8,24,,0.9025,1 x 蒲公英黄 @ 100.0%,蒲公英
cropsnh:dayflower,雏菊,cropsnh_crops.dayflower,,,CropsNH Team,0xFF236F8F,0xFF3C8EB0,flower,Hash,dirt,2,-1,"COLD, HILLS, SPARSE",600,0.8,0.8,24,,0.9025,1 x 青色染料 @ 100.0%,
cropsnh:deepslateLily,深板莲,cropsnh_crops.deepslateLily,,,bartimaeusnek,0xFF393939,0xFF575757,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置深板岩才能生长,0.95,9 x 深板岩粉 @ 100.0%,
cropsnh:diareed,钻石甘蔗,cropsnh_crops.diareed,,,Direwolf20,0xFF34BFA8,0xFF8CF4E2,grains,X,stone,12,-1,"COLD, SPARSE",7200,0.8,0.8,24,需要在其下方放置钻石块才能生长,0.5403601,1 x 钻石粉 @ 25.0% | 1 x 钻石 @ 75.0%,
cropsnh:dioriteLily,闪长莲,cropsnh_crops.dioriteLily,,,bartimaeusnek,0xFF909091,0xFFCECED0,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置闪长岩才能生长,0.95,1 x 闪长岩 @ 100.0%,
cropsnh:duskberry,黄昏莓,cropsnh_crops.duskberry,,,bartimaeusnek,0xFF595959,0xFFB4B4B4,vanilla,Hash,netherrack,4,-1,"HOT, NETHER",300,0.8,0.8,24,,0.81450623,2 x 黄昏莓 @ 100.0%,黄昏莓
cropsnh:eggPlant,鸡蛋草,cropsnh_crops.eggPlant,不要和茄子 (Eggplants) 搞混了。,cropsnh_crops.eggPlant.flavour,Link,0xFFB3A57D,0xFFDFCE9B,vanilla,Hash,farmland,6,-1,"PLAINS, FOREST",1200,0.8,0.8,24,需要亮度等级为 9 以上,0.73509187,1 x 生鸡肉 @ 10.0% | 1 x 羽毛 @ 30.0% | 1 x 鸡蛋 @ 60.0%,鸡蛋
cropsnh:emberMoss,余烬苔藓,tile.witchery:embermoss.name,,,bartimaeusnek,0xFF9C4D2C,0xFFE06F3F,magic,X,farmland,7,-1,"HOT, DRY",1100,0.8,0.8,24,,0.6983373,1 x 余烬苔藓 @ 100.0%,余烬苔藓
cropsnh:endStoneLily,末地石莲,cropsnh_crops.endStoneLily,,,bartimaeusnek,0xFFABA67E,0xFFDFD9A5,vanilla,X,stone,1,-1,"END, COLD, DRY",850,0.8,0.8,24,需要在其下方放置末地石才能生长,0.95,2 x 末地石粉 @ 100.0%,
cropsnh:enderbloom,末影花,cropsnh_crops.enderbloom,,,RichardG,0xFF085245,0xFF1B7B6B,vanilla,Hash,farmland,10,-1,"END, COLD",3000,0.8,0.8,24,需要在其下方放置末地石才能生长,0.59873694,1 x 末影珍珠 @ 37.50% | 1 x 末影珍珠粉 @ 62.50%,
cropsnh:essenceOreBerry,精华莓,cropsnh_crops.essenceOreBerry,,,bartimaeusnek,0xFF6BB324,0xFF99FF33,oreberry,Hash,stone,5,-1,"MAGICAL, DEAD",6000,0.8,0.8,24,需要在其下方放置头颅才能生长,0.77378094,6 x 浓缩精华莓 @ 100.0%,浓缩精华莓
cropsnh:evilOre,恶魔之矿,cropsnh_crops.evilOre,,,CropsNH Team,0xFF897B73,0xFFEFEBE7,vanilla,Hash,netherrack,8,-1,"HOT, DRY, NETHER",1600,0.8,0.8,24,,0.66342044,1 x 下界石英 @ 16.67% | 1 x 赛特斯石英粉 @ 16.67% | 1 x 下界石英粉 @ 66.66%,
cropsnh:eyebulb,眼球花,cropsnh_crops.eyebulb,,,bartimaeusnek,0xFF552323,0xFF875D5D,flower,Hash,netherrack,1,-1,"SPOOKY, NETHER",450,0.8,0.8,24,,0.95,1 x 眼球花 @ 100.0%,眼球花
cropsnh:ferrofern,铁齿蕨,cropsnh_crops.ferrofern,,,CropsNH Team,0xFFA1A1A1,0xFFE6E6E6,vanilla,Hash,stone,6,-1,"MOUNTAIN, HILLS",2800,0.8,0.8,24,需要在其下方放置铁块才能生长,0.73509187,1 x 铁齿叶 @ 100.0%,
cropsnh:fertilia,肥料草,cropsnh_crops.fertilia,,,CropsNH Team,0xFF554516,0xFF6E6038,vanilla,Hash,farmland,3,-1,"HOT, SWAMP, WET",1800,0.8,0.8,24,,0.857375,1 x 肥料 @ 12.50% | 1 x 磷灰石粉 @ 12.50% | 1 x 磷酸盐粉 @ 12.50% | 1 x 方解石粉 @ 62.50%,
cropsnh:flax,亚麻,cropsnh_crops.flax,,,Eloraam,0xFF804D3E,0xFFB76E5A,vanilla,Hash,farmland,2,-1,"BEACH, SANDY, RIVER, WET",1200,0.8,0.8,24,,0.9025,1 x 线 @ 100.0%,亚麻
cropsnh:floweringVine,开花藤蔓,cropsnh_crops.floweringVine,,,bartimaeusnek,0xFF2F7D4C,0xFFC6C6C6,flower,Hash,farmland,3,-1,"DENSE, JUNGLE",675,0.8,0.8,24,,0.857375,2 x 开花藤蔓 @ 100.0%,开花藤蔓
cropsnh:gaiaWart,大地疣,item.cropsnh:gaiaWart.name,,,CropsNH Team,0xFF0F213A,0xFF2664A1,spore,Hash,soulsand,5,-1,"COLD, SNOWY",1000,0.8,0.8,24,需要在其下方放置雪块才能生长,0.8,1 x 大地疣 @ 100.0%,大地疣
cropsnh:galvania,锌叶草,cropsnh_crops.galvania,,,CropsNH Team,0xFF6FDC5C,0xFF9BE78D,vanilla,Hash,stone,6,-1,"HOT, DRY",1200,0.8,0.8,24,需要在其下方放置锌块或闪锌矿矿石才能生长,0.73509187,1 x 镀锌叶 @ 100.0%,
cropsnh:garlic,大蒜,tile.witchery:garlicplant.name,,,bartimaeusnek,0xFFA88F7B,0xFFF3E7DC,magic,Hash,farmland,3,-1,"PLAINS, DRY",450,0.8,0.8,24,需要亮度等级为 9 以上,0.857375,1 x 大蒜 @ 100.0%,大蒜 | 大蒜
cropsnh:garnydinia,石榴石草,cropsnh_crops.garnydinia,,,moronwmachinegun,0xFFA24141,0xFFA3A341,vanilla,X,stone,7,-1,"SAVANNA, SANDY, MESA",850,0.8,0.8,24,需要在其下方放置红石榴石、黄石榴石或石榴石矿砂才能生长,0.6983373,1 x 精致的红石榴石 @ 2.50% | 1 x 精致的黄石榴石 @ 2.50% | 1 x 洗净的红石榴石矿石 @ 2.50% | 1 x 洗净的黄石榴石矿石 @ 2.50% | 1 x 红石榴石粉 @ 22.50% | 1 x 红石榴石 @ 22.50% | 1 x 黄石榴石 @ 22.50% | 1 x 黄石榴石粉 @ 22.50%,
cropsnh:glintWeed,闪烁草,tile.witchery:glintweed.name,,,bartimaeusnek,0xFFB3890B,0xFFB3890B,magic,X,farmland,4,-1,"PLAINS, SANDY, MAGICAL",1100,0.8,0.8,24,,0.81450623,1 x 闪烁草 @ 100.0%,闪烁草
cropsnh:glowflower,夜光花,cropsnh_crops.glowflower,,,bartimaeusnek,0xFF004D4C,0xFF12A4A2,flower,Hash,dirt,3,-1,"LUSH, MAGICAL, FOREST, WET",2000,0.8,0.8,24,,0.857375,2 x 夜光花 @ 100.0%,夜光花
cropsnh:glowheat,荧石小麦,cropsnh_crops.glowheat,,,CropsNH Team,0xFFABAB00,0xFFD2D200,vanilla,Hash,netherrack,4,-1,"PLAINS, HOT, NETHER",1500,0.8,0.8,24,需要在其下方放置荧石才能生长,1.5,1 x 荧石粉 @ 100.0%,
cropsnh:glowingCoral,夜光珊瑚,cropsnh_crops.glowingCoral,,,bartimaeusnek,0xFF7832DC,0xFFD6A1FF,magic,Hash,farmland,5,-1,"OCEAN, RIVER",450,0.8,0.8,24,需要在其下方放置荧石才能生长,0.77378094,2 x 夜光珊瑚 @ 100.0%,夜光珊瑚
cropsnh:glowshroom,荧光菇,cropsnh_crops.glowshroom,,,bartimaeusnek,0xFF45AD32,0xFF63FA48,spore,X,stone+dirt+mycelium+netherrack,3,-1,"MAGICAL, MUSHROOM, NETHER",600,0.8,0.8,24,,0.857375,1 x 夜光菇 @ 100.0%,夜光菇
cropsnh:godOfThunder,天罚之雷,cropsnh_crops.godOfThunder,,,CropsNH Team,0xFF001E00,0xFF0C290C,vanilla,Hash,stone,9,3,"SPARSE, WASTELAND",3600,0.8,0.8,24,需要在其下方放置钍块或方钍矿矿石才能生长 | 只能在工业农场中收获,0.6302494,1 x 雷鸣花 @ 100.0%,
cropsnh:goldOreBerry,金矿莓,cropsnh_crops.goldOreBerry,,,bartimaeusnek,0xFFB3B315,0xFFFFFF1E,oreberry,Hash,stone,5,-1,"MESA, SANDY",6000,0.8,0.8,24,需要在其下方放置金块才能生长 | 需要亮度等级为 10 以下,0.77378094,6 x 金矿莓 @ 100.0%,金矿莓
cropsnh:goldfish,金鱼草,cropsnh_crops.goldfish,尖叫。,cropsnh_crops.goldfish.flavour,bartimaeusnek,0xFFF8910F,0xFFFAC815,vanilla,Hash,farmland,4,-1,"SPOOKY, RIVER, WET",450,0.8,0.8,24,,0.81450623,1 x 金鱼草 @ 60.0%,
cropsnh:graniteLily,花岗莲,cropsnh_crops.graniteLily,,,bartimaeusnek,0xFF82675B,0xFFBA9583,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置花岗岩才能生长,0.95,1 x 花岗岩 @ 100.0%,
cropsnh:grape,葡萄,cropsnh_crops.grape,,,CropsNH Team,0xFF4A1041,0xFF5D1451,vanilla,Hash,farmland,4,-1,"HOT, SPARSE, DRY",800,0.8,0.8,24,需要亮度等级为 9 以上,0.81450623,1 x 葡萄 @ 100.0%,葡萄种子 | 葡萄
cropsnh:greenGlowshroom,绿色荧光菇,cropsnh_crops.greenGlowshroom,,,bartimaeusnek,0xFF7CFF1B,0xFFC6FF50,spore,Hash,stone+dirt+mycelium+netherrack,3,-1,"MAGICAL, MUSHROOM, NETHER",600,0.8,0.8,24,,0.857375,1 x 绿色荧光菇 @ 100.0%,绿色荧光菇
cropsnh:hemp,汉麻,cropsnh_crops.hemp,,,C0bra5,0xFF275600,0xFFBBB49D,vanilla,Hash,farmland,5,-1,"SANDY, DRY",800,0.8,0.8,24,,0.77378094,1 x 汉麻茎 @ 100.0%,
cropsnh:hops,啤酒花,cropsnh_crops.hops,,,CropsNH Team,0xFF6B5C0E,0xFF86BB00,vanilla,Hash,farmland,5,-1,"PLAINS, LUSH",2400,0.8,0.8,24,需要亮度等级为 9 以上,0.77378094,1 x 啤酒花 @ 100.0%,啤酒花
cropsnh:huckleberry,黑木果,cropsnh_crops.huckleberry,,,bartimaeusnek,0xFF0E0116,0xFF2A1736,vanilla,Hash,farmland,2,-1,"PLAINS, COLD, MOUNTAIN, HILLS",200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,1 x 黑木果 @ 100.0%,黑木果
cropsnh:indigo,靛蓝草,cropsnh_crops.indigo,,,Eloraam,0xFF6446BD,0xFFA285EF,flower,Hash,dirt,2,-1,"LUSH, WET",1200,0.8,0.8,24,,0.9025,1 x 靛蓝花 @ 100.0%,靛蓝花
cropsnh:inkbloom,染墨花,cropsnh_crops.inkbloom,,,CropsNH Team,0xFF000000,0xFF2E1F27,vanilla,Hash,dirt,4,-1,"OCEAN, WET",600,0.8,0.8,24,,0.81450623,1 x 墨囊 @ 100.0%,
cropsnh:iridine,铱叶草,cropsnh_crops.iridine,,,CropsNH Team,0xFFB3B3B3,0xFFE8E8E8,flower,X,stone,12,5,"COLD, SNOWY",7200,0.8,0.8,24,需要在其下方放铱块才能生长 | 只能在工业农场中收获,0.5403601,1 x 铱系叶 @ 75.0%,
cropsnh:ironOreBerry,铁矿莓,cropsnh_crops.ironOreBerry,,,bartimaeusnek,0xFF7D7D7D,0xFFC8C8C8,oreberry,Hash,stone,5,-1,"MOUNTAIN, HILLS",6000,0.8,0.8,24,需要在其下方放置铁块才能生长 | 需要亮度等级为 10 以下,0.77378094,6 x 铁矿莓 @ 100.0%,铁矿莓
cropsnh:ivy,常春藤,cropsnh_crops.ivy,,,bartimaeusnek,0xFF1B4509,0xFF338011,flower,Hash,farmland,2,-1,"MAGICAL, DENSE, JUNGLE, NETHER",450,0.8,0.8,24,,0.9025,2 x 常春藤 @ 100.0%,常春藤
cropsnh:knightmetalOreBerry,骑士金属矿莓,cropsnh_crops.knightmetalOreBerry,,,bartimaeusnek,0xFF90A68A,0xFFD2F0C8,oreberry,Hash,stone,8,-1,"SPOOKY, DEAD",5500,0.8,0.8,24,需要在其下方放置骑士金属块才能生长 | 需要亮度等级为 10 以下,0.66342044,4 x 装甲碎片 @ 100.0%,
