Category,Name,Key,Parents,ParentsHidden,Siblings,PermWarp,StickyWarp,Tag,ItemTrigger,EntityTrigger,AspectTrigger,DisplayColumn,DisplayRow
THAUMATURGY,高级节点稳定器,NODESTABILIZERADV,NODESTABILIZER,,TB.NODESTABILIZERADV,1,1,12xAuram;9xPotentia;9xPraecantatio;6xOrdo;3xAlienis,,,,-8,-3
THAUMATURGY,甘蔗杖柄,ROD_reed,ROD_greatwood;INFUSION,,TB.ROD_reed,0,0,9xInstrumentum;9xPraecantatio;6xAer;6xHerba;3xArbor,,,,-5,-1
THAUMATURGY,魔法手杖,ROD_greatwood_staff,ROD_silverwood,,TXROD_greatwood_staff,0,0,12xInstrumentum;12xPraecantatio;9xArbor;6xIgnis;6xAer;3xTerra,,,,-1,7
THAUMATURGY,核心祛魔,salisarcana:FOCUS_DISENCHANTING,FOCALMANIPULATION,,,0,0,4xAuram;6xPraecantatio;8xVacuos;4xPerditio,,,,-2,-8
THAUMATURGY,银树杖芯,ROD_silverwood_staff,ROD_silverwood,ROD_greatwood_staff,,0,0,15xInstrumentum;15xPraecantatio;12xArbor;9xOrdo;6xAer;3xTerra,,,,-1,5
THAUMATURGY,法杖核心:寒霜,FOCUSFROST,FOCUSFIRE,,,0,0,9xAqua;9xGelum;6xPraecantatio;3xMotus,,,,1,-5
THAUMATURGY,魔力存储,VISAMULET,WANDPED,,,0,0,15xVacuos;15xAuram;9xPraecantatio;12xPotentia;6xVitreus;3xTempus,,,,-9,-8
THAUMATURGY,核心镶饰台,FOCALMANIPULATION,VISPOWER,INFUSION;FOCUSFIRE,,0,0,15xPotentia;12xPraecantatio;12xInstrumentum;9xVitreus;9xFabrico;3xAlienis;5xCognitio,,,,-3,-8
THAUMATURGY,法杖核心,FOCUSFIRE,BASICTHAUMATURGY,,thaumicenergistics.Pseudo.FOCUSFIRE,0,0,6xIgnis;6xPraecantatio;3xMotus,,,,2,-2
THAUMATURGY,金杖端,CAP_gold,BASICTHAUMATURGY,,TB.CAP_gold,0,0,9xInstrumentum;6xMetallum;3xLucrum,,,,3,2
THAUMATURGY,银树杖柄,ROD_silverwood,ROD_greatwood;INFUSION,,TB.ROD_silverwood,0,0,12xInstrumentum;12xPraecantatio;9xCognitio;6xHerba;3xArbor,,,,-2,5
THAUMATURGY,掌控魔力,VISPOWER,NODESTABILIZER,,thaumicenergistics.Pseudo.VISPOWER;TB.VISPOWER,0,0,12xAuram;9xPotentia;3xPraecantatio;6xMachina,,,,-5,-6
THAUMATURGY,法杖核心手袋,FOCUSPOUCH,FOCUSFIRE,,,0,0,9xInstrumentum;9xVacuos;6xPraecantatio;3xPannus,,,,4,-1
THAUMATURGY,铜杖端,CAP_copper,BASICTHAUMATURGY,,,0,0,3xInstrumentum;6xMetallum;6xPermutatio,,,,2,0
THAUMATURGY,甘蔗杖芯,ROD_reed_staff,ROD_reed,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xHerba;6xAer;6xIgnis;3xTerra,,,,-5,-2
THAUMATURGY,法杖核心:震击,FOCUSSHOCK,FOCUSFIRE,,,0,0,9xAer;6xPraecantatio;9xPotentia;3xMotus,,,,3,-5
THAUMATURGY,银杖端,CAP_silver,CAP_gold;INFUSION,,,0,0,3xMetallum;3xLucrum;3xInstrumentum;3xAuram,,,,5,1
THAUMATURGY,石英杖柄,ROD_quartz,ROD_greatwood;INFUSION,,TB.ROD_quartz,0,0,9xInstrumentum;9xPraecantatio;6xTerra;6xOrdo;3xArbor,,,,-5,5
THAUMATURGY,基础神秘学,CAP_iron,,,,0,0,<empty>,,,,0,0
THAUMATURGY,法杖核心:守护,FOCUSWARDING,FOCUSEXCAVATION;INFUSION,,,0,0,12xTerra;12xCognitio;9xOrdo;6xTutamen;3xPraecantatio,,,,-2,-4
THAUMATURGY,黑曜石杖柄,ROD_obsidian,ROD_greatwood;INFUSION,,TB.ROD_obsidian,0,0,9xInstrumentum;9xPraecantatio;6xIgnis;6xPotentia;3xArbor,,,,-8,2
THAUMATURGY,法杖核心:便携式洞穴,FOCUSPORTABLEHOLE,FOCUSTRADE;INFUSION,,,0,0,12xAer;12xIter;9xAlienis;6xPerditio;3xPraecantatio,,,,7,-2
THAUMATURGY,神秘杖端,CAP_thaumium,CAP_gold;THAUMIUM;INFUSION,,TXCAP_thaumium,0,0,6xInstrumentum;9xAuram;12xMetallum;3xPraecantatio,,,,5,4
THAUMATURGY,基础神秘学,ROD_wood,,,,0,0,<empty>,,,,0,0
THAUMATURGY,宏伟之木杖柄,ROD_greatwood,BASICTHAUMATURGY,,TB.ROD_greatwood;TXROD_greatwood,0,0,9xInstrumentum;6xPraecantatio;3xArbor,,,,-5,2
THAUMATURGY,烈焰杖柄,ROD_blaze,ROD_greatwood;INFUSION,,TB.ROD_blaze,0,0,9xInstrumentum;9xPraecantatio;6xAer;6xHerba;3xArbor,,,,-7,0
THAUMATURGY,白骨杖芯,ROD_bone_staff,ROD_bone,ROD_greatwood_staff,,2,1,12xInstrumentum;12xPraecantatio;9xExanimis;6xPerditio;6xAer;3xTerra,,,,-2,-1
THAUMATURGY,黑曜石杖芯,ROD_obsidian_staff,ROD_obsidian,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xTerra;6xIgnis;6xAer;3xPotentia,,,,-9,2
THAUMATURGY,法杖核心:更替,FOCUSTRADE,FOCUSFIRE,,,0,0,9xPermutatio;9xPraecantatio;6xTerra;3xMotus,,,,4,-3
THAUMATURGY,冰霜杖芯,ROD_ice_staff,ROD_ice,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xGelum;6xAqua;6xAer;3xTerra,,,,-8,5
THAUMATURGY,法杖充能基座,WANDPED,INFUSION;NODEPRESERVE;NODESTABILIZER,,GADOMANCY.PSEUDO.WANDPED,0,0,12xAuram;9xPotentia;3xPraecantatio;6xPermutatio,,,,-9,-6
THAUMATURGY,烈焰杖芯,ROD_blaze_staff,ROD_blaze,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xIgnis;6xPotentia;6xAer;3xTerra,,,,-8,-1
ALCHEMY,源动之焰,ALUMENTUM,CRUCIBLE,,,0,0,3xIgnis;3xPraecantatio;6xPerditio,,,,2,1
ALCHEMY,坩埚,CRUCIBLE,,,TB.CRUCIBLE,0,0,<empty>,,,,0,0
ALCHEMY,混沌过程,ENTROPICPROCESSING,ALCHEMICALDUPLICATION,,,0,0,9xFabrico;9xPraecantatio;6xLucrum;3xPerditio,,,,-6,1
ALCHEMY,嬗变术:炼铁术,TRANSIRON,THAUMIUM,,WG.TRANSIRON,0,0,6xMetallum;3xOrdo;3xPermutatio,,,,0,5
ALCHEMY,源质管道,TUBES,DISTILESSENTIA,,,0,0,9xPraecantatio;6xPermutatio;9xAqua;3xOrdo,,,,7,0
ALCHEMY,嬗变术:炼钢术,GT_IRON_TO_STEEL,TRANSIRON;GT_WOOD_TO_CHARCOAL,,,0,0,5xMetallum;3xPermutatio;3xOrdo,,,,13,8
ALCHEMY,嬗变术:电池合金,GT_TRANSBATTERYALLOY,GT_TRANSBRONZE;GT_TRANSANTIMONY,,,0,0,5xMetallum;6xPermutatio;3xIgnis,,,,11,13
ALCHEMY,嬗变术:炼锡术,TRANSTIN,TRANSIRON,,,0,0,9xMetallum;6xVitreus;3xPermutatio,,,,2,7
ALCHEMY,嬗变术:水,GT_FILL_WATER_BUCKET,,,,0,0,4xPermutatio;4xAqua,,,,16,5
ALCHEMY,祛邪肥皂,SANESOAP,BATHSALTS,,,0,0,12xSano;12xAlienis;9xCognitio;6xOrdo;3xPraecantatio,,,,-3,-6
ALCHEMY,嬗变术:焊锡,GT_TRANSSOLDERINGALLOY,GT_TRANSBRONZE;GT_TRANSANTIMONY,,,0,0,5xMetallum;6xPermutatio;3xIgnis,,,,11,14
ALCHEMY,嬗变术:炼锑术,GT_TRANSANTIMONY,GT_TRANSZINC;TRANSLEAD,,,0,0,5xMetallum;3xPermutatio;3xAqua,,,,9,14
ALCHEMY,晶簇化:银,PURESILVER,PUREIRON,,,0,0,9xMetallum;9xLucrum;6xOrdo;3xPraecantatio,,,,-3,8
ALCHEMY,晶簇化:锡,PURETIN,PUREIRON,,,0,0,9xMetallum;9xVitreus;6xOrdo;3xPraecantatio,,,,-4,7
ALCHEMY,嬗变术:炼铜术,TRANSCOPPER,TRANSIRON,,,0,0,9xMetallum;6xOrdo;3xPermutatio,,,,2,5
ALCHEMY,奥法离心机,CENTRIFUGE,TUBEFILTER,,WG.CENTRIFUGE,0,0,12xFabrico;9xPerditio;12xPermutatio;6xPraecantatio;3xMachina,,,,10,0
ALCHEMY,虚空罐子,JARVOID,JARLABEL,,TXJARVOID,0,0,6xVacuos;9xPerditio;6xPraecantatio,,,,5,-5
ALCHEMY,源质蒸馏,DISTILESSENTIA,NITOR;ALUMENTUM,,JARLABEL;thaumicenergistics.Pseudo.DISTILESSENTIA;TB.DISTILESSENTIA;TXDISTILESSENTIA,0,0,9xLimus;6xPraecantatio;3xIgnis;9xAqua,,,,5,-1
ALCHEMY,碎片重结晶术,GT_CRYSTALLISATION,ALCHEMICALMANUFACTURE,,,0,0,5xVitreus;3xPermutatio;3xOrdo,,,,-11,-3
ALCHEMY,玻璃安瓿,PHIAL,,,,0,0,<empty>,,,,0,-2
ALCHEMY,嬗变术:炼锌术,GT_TRANSZINC,TRANSTIN,,,0,0,5xMetallum;3xPermutatio;3xSano,,,,9,13
ALCHEMY,嬗变术:炼铝术,GT_TRANSALUMINIUM,GT_ADVANCEDMETALLURGY,,,0,0,5xMetallum;3xPermutatio;3xVolatus;3xOrdo;3xIgnis,,,,19,14
ALCHEMY,嬗变术:青铜,GT_TRANSBRONZE,TRANSTIN;TRANSCOPPER,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,,13,11
ALCHEMY,嬗变术:琥珀金,GT_TRANSELECTRUM,GT_TRANSBRONZE;TRANSGOLD;TRANSSILVER,,,0,0,5xMetallum;3xPermutatio;3xLucrum,,,,11,11
ALCHEMY,神秘锭,THAUMIUM,CRUCIBLE,,TB.THAUMIUM,0,0,3xMetallum;3xPraecantatio,,,Metallum,-1,3
ALCHEMY,嬗变术:炼铅术,TRANSLEAD,TRANSIRON,,,0,0,9xMetallum;6xOrdo;3xPermutatio,,,,0,9
ALCHEMY,嬗变术:炼金术,TRANSGOLD,TRANSIRON,,,0,0,9xMetallum;6xLucrum;3xPermutatio,,,,2,3
ALCHEMY,晶簇化:铜,PURECOPPER,PUREIRON,,,0,0,9xMetallum;15xOrdo;3xPraecantatio,,,,-4,5
ALCHEMY,神秘源质罐子,THAUMIUMREINFORCEDJAR,JARLABEL,,,0,0,3xTutamen;3xAqua;3xLucrum;3xVacuos,,,,3,-4
ALCHEMY,嬗变术:木炭,GT_WOOD_TO_CHARCOAL,ALUMENTUM,,,0,0,10xArbor;8xVacuos;8xIgnis,,,,13,5
ALCHEMY,嬗变术:白铜,GT_TRANSCUPRONICKEL,GT_TRANSBRONZE;GT_TRANSNICKEL,,,0,0,5xMetallum;6xPermutatio;3xIgnis,,,,11,16
ALCHEMY,净化浴盐,BATHSALTS,,,WG.BATHSALTS,0,0,9xSano;6xCognitio;9xAuram;6xOrdo;3xPraecantatio,,,,-4,-4
ALCHEMY,嬗变术:炼钴术,GT_TRANSCOBALT,GT_TRANSNICKEL,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,,9,16
ALCHEMY,自动炼金,THAUMATORIUM,CENTRIFUGE,,,0,0,12xFabrico;9xAqua;12xPermutatio;6xPraecantatio;3xCognitio,,,,10,-2
ALCHEMY,炼金制造,ALCHEMICALMANUFACTURE,ALCHEMICALDUPLICATION,,WG.ALCHEMICALMANUFACTURE,0,0,9xFabrico;9xPraecantatio;6xLucrum;3xPermutatio,,,,-5,-2
ALCHEMY,死亡之水,LIQUIDDEATH,ENTROPICPROCESSING,,,2,1,9xAqua;9xMortuus;6xPerditio;6xVenenum;3xTenebrae,,,Mortuus;Venenum,-7,3
ALCHEMY,进阶金属嬗变术,GT_ADVANCEDMETALLURGY,GT_TRANSBISMUTH;GT_IRON_TO_STEEL;GT_TRANSSOLDERINGALLOY;GT_TRANSBATTERYALLOY;GT_TRANSBRASS;GT_TRANSELECTRUM;GT_TRANSCUPRONICKEL;GT_TRANSINVAR,,,0,0,50xMetallum;20xPermutatio;20xCognitio;20xPraecantatio;20xNebrisum;20xMagneto,,,,16,14
ALCHEMY,嬗变术:陨石,GT_TRANSSKYSTONE,GT_ADVANCEDMETALLURGY,,,0,0,5xMetallum;3xPermutatio;3xVolatus;3xAlienis;3xTerra,,,,19,15
ALCHEMY,天域花,ETHEREALBLOOM,CRUCIBLE,,,0,0,9xVitium;9xPraecantatio;6xSano;6xHerba;3xLux;3xTerra,,,Vitium,-2,-3
ALCHEMY,灵液源质罐子,ICHORJAR,THAUMIUMREINFORCEDJAR,ICHOR,,0,0,3xTutamen;3xAlienis;3xAqua;5xLucrum;5xVacuos,,,,2,-5
ALCHEMY,嬗变术:黄铜,GT_TRANSBRASS,GT_TRANSBRONZE;GT_TRANSZINC,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,,11,12
ALCHEMY,魔力油脂,TALLOW,CRUCIBLE,,TXTALLOW,0,0,6xCorpus;6xPraecantatio;3xMotus,,,,-2,0
ALCHEMY,嬗变术:炼镍术,GT_TRANSNICKEL,TRANSLEAD,,,0,0,5xMetallum;3xPermutatio;3xIgnis,,,,9,15
ALCHEMY,嬗变术:玄武岩,GT_TRANSMINERAL,GT_ADVANCEDMETALLURGY,,,0,0,5xMetallum;3xPermutatio;3xVolatus;3xMagneto;3xTerra,,,,19,16
ALCHEMY,源质结晶器 ,ESSENTIACRYSTAL,TUBES,,,0,0,12xAqua;9xPraecantatio;12xPermutatio;6xVitreus;3xTerra,,,,8,-2
ALCHEMY,奥术浴场,ARCANESPA,BATHSALTS,,,0,0,9xOrdo;9xAqua;6xMachina;6xSano;3xPraecantatio,,,,-6,-5
ALCHEMY,嬗变术:炼银术,TRANSSILVER,TRANSIRON,,,0,0,9xMetallum;6xLucrum;3xPermutatio,,,,1,8
ALCHEMY,金属晶簇化,PUREIRON,THAUMIUM,,WG.PUREIRON,0,0,6xMetallum;6xOrdo;3xVitreus,,,,-2,5
ALCHEMY,炼金复制,ALCHEMICALDUPLICATION,TALLOW,,thaumicenergistics.Pseudo.ALCHEMICALDUPLICATION,0,0,9xFabrico;6xPraecantatio;9xLucrum;3xPermutatio,,,,-4,0
ALCHEMY,嬗变术:殷钢,GT_TRANSINVAR,GT_TRANSBRONZE;GT_TRANSNICKEL,,,0,0,5xMetallum;3xPermutatio;3xGelum,,,,11,15
ALCHEMY,闪耀之光,NITOR,CRUCIBLE,,,0,0,6xLux;3xIgnis;3xPraecantatio,,,,2,-1
ALCHEMY,腐化瓶,BOTTLETAINT,ENTROPICPROCESSING,,,3,2,12xVitium;12xPraecantatio;12xAqua;9xPerditio;9xTenebrae;6xVenenum;3xStrontio,,,Vitium,-8,1
ALCHEMY,晶簇化:金,PUREGOLD,PUREIRON,,,0,0,9xMetallum;9xLucrum;6xOrdo;3xPraecantatio,,,,-4,3
ALCHEMY,高级源质管道,TUBEFILTER,TUBES,,thaumicenergistics.Pseudo.TUBEFILTER,0,0,12xPraecantatio;9xPermutatio;12xAqua;6xOrdo;3xLimus,,,,9,1
ALCHEMY,晶簇化:铅,PURELEAD,PUREIRON,,,0,0,9xMetallum;9xPermutatio;6xOrdo;3xPraecantatio,,,,-2,9
ALCHEMY,嬗变术:炼铋术,GT_TRANSBISMUTH,GT_TRANSCOBALT,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,,11,17
ALCHEMY,源质罐子和标签,JARLABEL,DISTILESSENTIA,,GADOMANCY.PSEUDO.JARLABEL;WG.JARLABEL,0,0,<empty>,,,,4,-3
ARTIFICE,应急护盾护身符,RUNICEMERGENCY,RUNICARMOR,,,0,0,15xVacuos;12xPraecantatio;9xTerra;9xTutamen;6xAlienis;6xSano;3xCognitio,,,,4,5
ARTIFICE,揭示之护目镜,GOGGLES,THAUMOMETER,,,0,0,3xAuram;9xPraecantatio;9xSensus;6xInstrumentum,,,,4,1
ARTIFICE,魔力布匹,ENCHFABRIC,,,TB.ENCHFABRIC;WG.ENCHFABRIC,0,0,6xPannus;6xPraecantatio;3xTutamen,,,,0,3
ARTIFICE,奥术升级槽,TINKERSAUGMENTATION,,,,0,0,20xInstrumentum;20xPraecantatio,,,,7,6
ARTIFICE,炽心镐,ELEMENTALPICK,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xIgnis;9xPerfodio;6xLucrum;3xPraecantatio,,,,-7,3
ARTIFICE,奔流斧,ELEMENTALAXE,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xMotus;9xFabrico;6xAqua;3xPraecantatio,,,,-7,4
ARTIFICE,台桌,TABLE,,,,0,0,<empty>,,,,0,-1
ARTIFICE,炼狱熔炉,INFERNALFURNACE,NITOR;ALUMENTUM,,WG.INFERNALFURNACE,1,1,6xIgnis;3xMetallum;3xFabrico;3xAuram,,,,-4,-1
ARTIFICE,旗帜,BANNERS,,,,0,0,3xSensus;3xPannus;1xPraecantatio,1xtile.blockWoodenDevice@8,,,4,8
ARTIFICE,后土铲,ELEMENTALSHOVEL,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xTerra;9xPerfodio;6xFabrico;3xPraecantatio,,,,-7,6
ARTIFICE,奥术悬浮台,LEVITATOR,NITOR,,TB.LEVITATOR,0,0,3xAer;6xVolatus;3xPraecantatio;6xMotus,,,,-3,-3
ARTIFICE,奥法腰带,HOVERGIRDLE,HOVERHARNESS,,,0,0,15xVolatus;12xMotus;9xIter;9xAer;6xPraecantatio;3xTutamen,,,Volatus,2,7
ARTIFICE,守护之奥术,WARDEDARCANA,THAUMIUM,,thaumicenergistics.Pseudo.WARDEDARCANA,0,0,6xTutamen;6xInstrumentum;6xMachina;3xMotus,,,,-5,-4
ARTIFICE,基础炼化学,BASICARTIFACE,,,TXBASICARTIFACE,0,0,<empty>,,,,0,1
ARTIFICE,咒波洗涤器,FLUXSCRUB,VISPOWER;BELLOWS;TUBES,INFUSION,,0,0,15xAqua;12xPraecantatio;9xAer;6xVinculum;3xVitium,,,,-8,-3
ARTIFICE,魔导透镜,THAUMOMETER,,,,0,0,<empty>,,,,2,1
ARTIFICE,旅行者之靴,BOOTSTRAVELLER,ENCHFABRIC;INFUSION,,TXBOOTSTRAVELLER,0,0,9xAqua;15xIter;6xTerra;12xVolatus;3xAer,,,,-1,5
ARTIFICE,研究台,RESTABLE,TABLE,,,0,0,<empty>,,,,1,-3
ARTIFICE,进阶扩散单元,ESSENTIA_CELL,ESSENTIA_SMELTERY,,,0,0,10xAqua;10xVacuos;10xOrdo;10xPraecantatio;10xPermutatio,,,,-10,3
ARTIFICE,源质之镜,MIRRORESSENTIA,MIRROR,,WG.MIRRORESSENTIA,2,1,15xPraecantatio;12xIter;9xVitreus;9xAlienis;6xCognitio;6xPotentia;3xAqua,,,,-1,10
ARTIFICE,元始之矢,PRIMALARROW,BONEBOW,,,0,0,3xTelum;3xAer;3xIgnis;3xAqua;3xTerra;3xOrdo;3xPerditio,,,,-9,0
ARTIFICE,学徒级魔法能源转换,GT_MAGICENERGY2,GT_MAGICENERGY,,,0,0,10xMachina;10xCognitio;20xPotentia;10xElectrum,,,,-4,12
ARTIFICE,凋零防护指环,WITHERRING,RUNICARMOR,,RUNICARMOR,1,1,15xAlienis;12xPraecantatio;9xSuperbia;6xSpiritus;3xInfernus,,,,3,2
ARTIFICE,奥术之耳,ARCANEEAR,GOGGLES,,,0,0,9xAer;9xSensus;3xPraecantatio;6xPotentia,,,,6,0
ARTIFICE,物品格栅,GRATE,,,,0,0,<empty>,,,,2,-1
ARTIFICE,充能护盾指环,RUNICCHARGED,RUNICARMOR,,,0,0,15xPraecantatio;12xPotentia;9xTutamen;12xAlienis;9xAer;6xCognitio;3xTerra,,,,2,3
ARTIFICE,再充能护盾指环,RUNICHEALING,RUNICARMOR,,,0,0,18xPraecantatio;15xAqua;12xSano;9xTutamen;9xAlienis;6xAer;3xCognitio,,,,4,3
ARTIFICE,魔法能源吸收,GT_MAGICABSORB,GT_MAGICENERGY,,,0,0,10xMachina;10xCognitio;20xPotentia;10xElectrum,,,,-2,12
ARTIFICE,奥法缰绳,HOVERHARNESS,BOOTSTRAVELLER,,TXHOVERHARNESS,0,0,15xVolatus;12xMachina;9xIter;9xAer;6xPraecantatio;3xTutamen,,,,1,7
ARTIFICE,魔镜,MIRROR,INFUSION,,thaumicenergistics.Pseudo.MIRROR,1,1,15xVitreus;12xIter;9xTenebrae;9xAlienis;6xCognitio;3xPotentia,1xitem.enderPearl@0;1xtile.portal@32767;1xtile.etfuturum.end_portal@32767;1xtile.endPortalFrame@32767,Enderman,,-1,8
ARTIFICE,炼金格栅,ALCHGRATE,ADVALCHEMYFURNACE;HUNGRYCHEST;GRATE,,,0,0,1xVacuos;1xAuram;1xPraecantatio;1xOrdo;1xPerditio,,,,4,-1
ARTIFICE,催生灯,LAMPGROWTH,ARCANELAMP;INFUSION,,,0,0,9xMessis;3xLux;6xHerba;9xVictus,,,Lux;Messis,-4,3
ARTIFICE,狞笑恶魔面具,MASKGRINNINGDEVIL,ARMORFORTRESS,,,1,1,15xTutamen;12xSano;9xCognitio;9xAlienis;6xPraecantatio;3xFabrico,,,,-10,8
ARTIFICE,句芒锄,ELEMENTALHOE,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xVictus;9xMeto;6xMessis;3xPraecantatio,,,,-7,7
ARTIFICE,大师级魔法能源转换,GT_MAGICENERGY3,GT_MAGICENERGY2,,,0,0,20xMachina;20xCognitio;40xPotentia;20xElectrum,,,,-4,14
ARTIFICE,魔力手镜,MIRRORHAND,MIRROR,,,2,1,18xIter;15xInstrumentum;12xVitreus;9xAlienis;6xCognitio;6xPotentia;3xPraecantatio,,,,1,9
ARTIFICE,奥术工作台,ARCTABLE,TABLE,,,0,0,<empty>,,,,-1,-3
ARTIFICE,注魔,INFUSION,DISTILESSENTIA,,thaumicenergistics.Pseudo.INFUSION;TB.INFUSION;TXINFUSION,0,0,9xFabrico;9xMachina;6xPraecantatio;6xCognitio;3xMotus,,,,-4,5
ARTIFICE,冲击护盾腰带,RUNICKINETIC,RUNICARMOR,,,0,0,18xAer;15xPraecantatio;12xTutamen;9xTelum;9xAlienis;6xBestia;3xCognitio,,,,2,5
