Name,ID,Has Item,Mod,Class,Display Name
minecraft:ladder,65,true,minecraft,net.minecraft.block.BlockLadder,梯子
minecraft:rail,66,true,minecraft,net.minecraft.block.BlockRail,轨道
minecraft:stone_stairs,67,true,minecraft,net.minecraft.block.BlockStairs,圆石楼梯
minecraft:wall_sign,68,false,null,net.minecraft.block.BlockSign,null
minecraft:lever,69,true,minecraft,net.minecraft.block.BlockLever,拉杆
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.block.BlockPressurePlate,压力板
minecraft:iron_door,71,false,null,net.malisis.doors.door.block.Door,null
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.block.BlockPressurePlate,橡木压力板
minecraft:redstone_ore,73,true,minecraft,net.minecraft.block.BlockRedstoneOre,红石矿石
minecraft:lit_redstone_ore,74,false,null,net.minecraft.block.BlockRedstoneOre,null
minecraft:unlit_redstone_torch,75,false,null,net.minecraft.block.BlockRedstoneTorch,null
minecraft:redstone_torch,76,true,minecraft,net.minecraft.block.BlockRedstoneTorch,红石火把
minecraft:stone_button,77,true,minecraft,net.minecraft.block.BlockButtonStone,按钮
minecraft:snow_layer,78,true,minecraft,net.minecraft.block.BlockSnow,雪
minecraft:ice,79,true,minecraft,net.minecraft.block.BlockIce,冰
minecraft:snow,80,true,minecraft,net.minecraft.block.BlockSnowBlock,雪
minecraft:cactus,81,true,minecraft,net.minecraft.block.BlockCactus,仙人掌
minecraft:clay,82,true,minecraft,net.minecraft.block.BlockClay,黏土块
minecraft:reeds,83,false,null,net.minecraft.block.BlockReed,null
minecraft:jukebox,84,true,minecraft,net.minecraft.block.BlockJukebox,唱片机
minecraft:fence,85,true,minecraft,net.minecraft.block.BlockFence,橡木栅栏
minecraft:pumpkin,86,true,minecraft,net.minecraft.block.BlockPumpkin,南瓜
minecraft:netherrack,87,true,minecraft,net.minecraft.block.BlockNetherrack,下界岩
minecraft:soul_sand,88,true,minecraft,net.minecraft.block.BlockSoulSand,灵魂沙
minecraft:glowstone,89,true,minecraft,net.minecraft.block.BlockGlowstone,荧石
minecraft:portal,90,true,minecraft,net.minecraft.block.BlockPortal,传送门
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.block.BlockPumpkin,南瓜灯
minecraft:cake,92,false,null,net.minecraft.block.BlockCake,null
minecraft:unpowered_repeater,93,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:powered_repeater,94,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:stained_glass,95,true,minecraft,net.minecraft.block.BlockStainedGlass,白色染色玻璃
minecraft:trapdoor,96,true,minecraft,net.malisis.doors.trapdoor.block.TrapDoor,橡木活板门
minecraft:monster_egg,97,true,minecraft,net.minecraft.block.BlockSilverfish,被虫蚀的石头
minecraft:stonebrick,98,true,minecraft,net.minecraft.block.BlockStoneBrick,石砖
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.block.BlockHugeMushroom,蘑菇
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.block.BlockHugeMushroom,蘑菇
minecraft:iron_bars,101,true,minecraft,net.minecraft.block.BlockPane,铁栏杆
minecraft:glass_pane,102,true,minecraft,net.minecraft.block.BlockPane,玻璃板
minecraft:melon_block,103,true,minecraft,net.minecraft.block.BlockMelon,西瓜
minecraft:pumpkin_stem,104,false,null,net.minecraft.block.BlockStem,null
minecraft:melon_stem,105,false,null,net.minecraft.block.BlockStem,null
minecraft:vine,106,true,minecraft,net.minecraft.block.BlockVine,藤蔓
minecraft:fence_gate,107,true,minecraft,net.malisis.doors.door.block.FenceGate,橡木栅栏门
minecraft:brick_stairs,108,true,minecraft,net.minecraft.block.BlockStairs,砖楼梯
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.block.BlockStairs,石砖楼梯
minecraft:mycelium,110,true,minecraft,net.minecraft.block.BlockMycelium,菌丝
minecraft:waterlily,111,true,minecraft,net.minecraft.block.BlockLilyPad,睡莲
minecraft:nether_brick,112,true,minecraft,net.minecraft.block.Block,下界砖
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.block.BlockFence,下界砖栅栏
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.block.BlockStairs,下界砖楼梯
minecraft:nether_wart,115,false,null,net.minecraft.block.BlockNetherWart,null
minecraft:enchanting_table,116,true,minecraft,net.minecraft.block.BlockEnchantmentTable,附魔台
minecraft:brewing_stand,117,false,null,net.minecraft.block.BlockBrewingStand,null
minecraft:cauldron,118,false,null,net.minecraft.block.BlockCauldron,null
minecraft:end_portal,119,true,minecraft,net.minecraft.block.BlockEndPortal,末地传送门
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.block.BlockEndPortalFrame,末地传送门
minecraft:end_stone,121,true,minecraft,net.minecraft.block.Block,末地石
minecraft:dragon_egg,122,true,minecraft,chylex.hee.block.BlockDragonEggCustom,龙蛋
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.block.BlockRedstoneLight,红石灯
minecraft:lit_redstone_lamp,124,false,null,net.minecraft.block.BlockRedstoneLight,null
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.block.BlockWoodSlab,橡木台阶
minecraft:wooden_slab,126,true,minecraft,net.minecraft.block.BlockWoodSlab,橡木台阶
minecraft:cocoa,127,true,minecraft,net.minecraft.block.BlockCocoa,可可果
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.block.BlockStairs,沙石楼梯
minecraft:emerald_ore,129,true,minecraft,net.minecraft.block.BlockOre,绿宝石矿石
minecraft:ender_chest,130,true,minecraft,net.minecraft.block.BlockEnderChest,私人末影箱子
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.block.BlockTripWireHook,绊线钩
minecraft:tripwire,132,false,null,net.minecraft.block.BlockTripWire,null
minecraft:emerald_block,133,true,minecraft,net.minecraft.block.BlockCompressed,绿宝石块
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.block.BlockStairs,云杉木楼梯
minecraft:birch_stairs,135,true,minecraft,net.minecraft.block.BlockStairs,白桦木楼梯
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.block.BlockStairs,丛林木楼梯
minecraft:command_block,137,true,minecraft,net.minecraft.block.BlockCommandBlock,命令方块
minecraft:beacon,138,true,minecraft,net.minecraft.block.BlockBeacon,信标
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.block.BlockWall,圆石墙
minecraft:flower_pot,140,false,null,net.minecraft.block.BlockFlowerPot,null
minecraft:carrots,141,true,minecraft,net.minecraft.block.BlockCarrot,胡萝卜
minecraft:potatoes,142,true,minecraft,net.minecraft.block.BlockPotato,马铃薯
minecraft:wooden_button,143,true,minecraft,net.minecraft.block.BlockButtonWood,橡木按钮
minecraft:skull,144,false,null,net.minecraft.block.BlockSkull,null
minecraft:anvil,145,true,minecraft,net.minecraft.block.BlockAnvil,铁砧
minecraft:trapped_chest,146,true,minecraft,net.minecraft.block.BlockChest,陷阱箱
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,轻质测重压力板
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,重质测重压力板
minecraft:unpowered_comparator,149,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:powered_comparator,150,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:daylight_detector,151,true,minecraft,net.minecraft.block.BlockDaylightDetector,阳光探测器
minecraft:redstone_block,152,true,minecraft,net.minecraft.block.BlockCompressedPowered,红石块
minecraft:quartz_ore,153,true,minecraft,net.minecraft.block.BlockOre,下界石英矿石
minecraft:hopper,154,true,minecraft,net.minecraft.block.BlockHopper,漏斗
minecraft:quartz_block,155,true,minecraft,net.minecraft.block.BlockQuartz,石英块
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.block.BlockStairs,石英楼梯
minecraft:activator_rail,157,true,minecraft,net.minecraft.block.BlockRailPowered,激活轨道
minecraft:dropper,158,true,minecraft,net.minecraft.block.BlockDropper,投掷器
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.block.BlockColored,白色陶瓦
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.block.BlockStainedGlassPane,白色染色玻璃板
minecraft:leaves2,161,true,minecraft,net.minecraft.block.BlockNewLeaf,金合欢树叶
minecraft:log2,162,true,minecraft,net.minecraft.block.BlockNewLog,金合欢原木
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.block.BlockStairs,金合欢木楼梯
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.block.BlockStairs,深色橡木楼梯
IC2:blockOreCopper,165,true,IC2,ic2.core.block.BlockMetaData,铜矿石
IC2:blockOreTin,166,true,IC2,ic2.core.block.BlockMetaData,锡矿石
IC2:blockOreUran,167,true,IC2,ic2.core.block.BlockMetaData,铀矿石
IC2:blockOreLead,168,true,IC2,ic2.core.block.BlockMetaData,铅矿石
IC2:blockRubWood,169,true,IC2,ic2.core.block.BlockRubWood,橡胶树原木
minecraft:hay_block,170,true,minecraft,net.minecraft.block.BlockHay,干草块
minecraft:carpet,171,true,minecraft,net.minecraft.block.BlockCarpet,地毯
minecraft:hardened_clay,172,true,minecraft,net.minecraft.block.BlockHardenedClay,陶瓦
minecraft:coal_block,173,true,minecraft,net.minecraft.block.Block,煤炭块
minecraft:packed_ice,174,true,minecraft,net.minecraft.block.BlockPackedIce,浮冰
minecraft:double_plant,175,true,minecraft,net.minecraft.block.BlockDoublePlant,向日葵
IC2:blockRubLeaves,176,true,IC2,ic2.core.block.BlockRubLeaves,橡胶树树叶
IC2:blockRubSapling,177,true,IC2,ic2.core.block.BlockRubSapling,橡胶树树苗
IC2:blockHarz,178,true,IC2,ic2.core.block.BlockResin,ic2.blockHarz
IC2:blockRubber,179,true,IC2,ic2.core.block.BlockRubberSheet,橡胶垫
IC2:blockFenceIron,180,true,IC2,ic2.core.block.BlockPoleFence,铁栅栏
IC2:blockAlloy,181,true,IC2,ic2.core.block.BlockMetaData,防爆石
IC2:blockBasalt,182,true,IC2,ic2.core.block.BlockMetaData,玄武岩
IC2:blockAlloyGlass,183,true,IC2,ic2.core.block.BlockTexGlass,防爆玻璃
IC2:blockDoorAlloy,184,true,IC2,ic2.core.block.BlockIC2Door,防爆门
IC2:blockReinforcedFoam,185,true,IC2,ic2.core.block.BlockReinforcedFoam,强化建筑泡沫
IC2:blockFoam,186,true,IC2,ic2.core.block.BlockFoam,建筑泡沫
IC2:blockWall,187,true,IC2,ic2.core.block.BlockWall,ic2.blockWall
IC2:blockScaffold,188,true,IC2,ic2.core.block.BlockScaffold,脚手架
IC2:blockIronScaffold,189,true,IC2,ic2.core.block.BlockScaffold,铁质脚手架
IC2:blockMetal,190,true,IC2,ic2.core.block.BlockMetal,铜块
IC2:blockCable,191,true,IC2,ic2.core.block.wiring.BlockCable,ic2.blockCable
IC2:blockKineticGenerator,192,true,IC2,ic2.core.block.kineticgenerator.block.BlockKineticGenerator,风力动能发生机
IC2:blockHeatGenerator,193,true,IC2,ic2.core.block.heatgenerator.block.BlockHeatGenerator,固体加热机
IC2:blockGenerator,194,true,IC2,ic2.core.block.generator.block.BlockGenerator,放射性同位素温差发电机之力
IC2:blockReactorChamber,195,true,IC2,ic2.core.block.reactor.block.BlockReactorChamber,核反应仓
IC2:blockReactorFluidPort,196,true,IC2,ic2.core.block.reactor.block.BlockReactorFluidPort,反应堆流体接口
IC2:blockReactorAccessHatch,197,true,IC2,ic2.core.block.reactor.block.BlockReactorAccessHatch,反应堆访问接口
IC2:blockReactorRedstonePort,198,true,IC2,ic2.core.block.reactor.block.BlockReactorRedstonePort,反应堆红石接口
IC2:blockreactorvessel,199,true,IC2,ic2.core.block.reactor.block.BlockReactorVessel,反应堆压力容器
IC2:blockElectric,200,true,IC2,ic2.core.block.wiring.BlockElectric,储电盒
IC2:blockChargepad,201,true,IC2,ic2.core.block.wiring.BlockChargepad,充电座
IC2:blockMachine,202,true,IC2,ic2.core.block.machine.BlockMachine,基础机器外壳
IC2:blockMachine2,203,true,IC2,ic2.core.block.machine.BlockMachine2,传送机
IC2:blockMachine3,204,true,IC2,ic2.core.block.machine.BlockMachine3,蒸汽机
IC2:blockLuminatorDark,205,true,IC2,ic2.core.block.wiring.BlockLuminator,日光灯
IC2:blockLuminator,206,true,IC2,ic2.core.block.wiring.BlockLuminator,日光灯
IC2:blockMiningPipe,207,true,IC2,ic2.core.block.machine.BlockMiningPipe,采矿管道
IC2:blockMiningTip,208,true,IC2,ic2.core.block.machine.BlockMiningTip,采矿管道
IC2:blockPersonal,209,true,IC2,ic2.core.block.personal.BlockPersonal,保险箱
IC2:blockITNT,210,true,IC2,ic2.core.block.BlockITNT,工业TNT
IC2:blockNuke,211,true,IC2,ic2.core.block.BlockITNT,核弹
IC2:blockDynamite,212,true,IC2,ic2.core.block.BlockDynamite,ic2.blockDynamite
IC2:blockDynamiteRemote,213,true,IC2,ic2.core.block.BlockDynamite,ic2.blockDynamiteRemote
IC2:blockCrop,214,true,IC2,ic2.core.crop.BlockCrop,作物架
IC2:blockBarrel,215,true,IC2,ic2.core.block.BlockBarrel,酒桶
IC2:fluidUuMatter,216,true,IC2,ic2.core.block.BlockIC2Fluid,UU物质
IC2:fluidConstructionFoam,217,true,IC2,ic2.core.block.BlockIC2Fluid,建筑泡沫
IC2:fluidCoolant,218,true,IC2,ic2.core.block.BlockIC2Fluid,冷却液
IC2:fluidHotCoolant,219,true,IC2,ic2.core.block.BlockIC2Fluid,热冷却液
IC2:fluidPahoehoeLava,220,true,IC2,ic2.core.block.BlockIC2Fluid,熔岩岩浆
IC2:fluidBiomass,221,true,IC2,ic2.core.block.BlockIC2Fluid,生物质
IC2:fluidBiogas,222,true,IC2,ic2.core.block.BlockIC2Fluid,沼气
IC2:fluidDistilledWater,223,true,IC2,ic2.core.block.BlockIC2Fluid,蒸馏水
IC2:fluidSuperheatedSteam,224,true,IC2,ic2.core.block.BlockIC2Fluid,过热蒸汽
IC2:fluidSteam,225,true,IC2,ic2.core.block.BlockIC2Fluid,蒸汽
IC2:fluidHotWater,226,true,IC2,ic2.core.block.BlockIC2Fluid,Heated Water
AdvancedSolarPanel:BlockMolecularTransformer,227,true,AdvancedSolarPanel,advsolar.common.blocks.BlockMolecularTransformer,分子重组仪
AdvancedSolarPanel:BlockAdvSolarPanel,228,true,AdvancedSolarPanel,advsolar.common.blocks.BlockAdvSolarPanel,高级太阳能发电机
battlegear2:flagpole,229,true,battlegear2,mods.battlegear2.heraldry.BlockFlagPole,橡木旗杆
ForgeMultipart:block,230,false,null,codechicken.multipart.BlockMultipart,null
Thaumcraft:blockFluxGoo,231,true,Thaumcraft,thaumcraft.common.blocks.BlockFluxGoo,咒波黏浆
Thaumcraft:blockFluxGas,232,true,Thaumcraft,thaumcraft.common.blocks.BlockFluxGas,咒波瓦斯
Thaumcraft:blockFluidPure,233,true,Thaumcraft,thaumcraft.common.blocks.BlockFluidPure,净化之水
Thaumcraft:blockFluidDeath,234,true,Thaumcraft,thaumcraft.common.blocks.BlockFluidDeath,死亡之水
Thaumcraft:blockCustomOre,235,true,Thaumcraft,thaumcraft.common.blocks.BlockCustomOre,朱砂矿石
Thaumcraft:blockMagicalLog,236,true,Thaumcraft,thaumcraft.common.blocks.BlockMagicalLog,宏伟之木原木
Thaumcraft:blockMagicalLeaves,237,true,Thaumcraft,thaumcraft.common.blocks.BlockMagicalLeaves,宏伟之木树叶
Thaumcraft:blockCustomPlant,238,true,Thaumcraft,thaumcraft.common.blocks.BlockCustomPlant,宏伟之木树苗
Thaumcraft:blockTaint,239,true,Thaumcraft,thaumcraft.common.blocks.BlockTaint,陈年污点
Thaumcraft:blockTaintFibres,240,true,Thaumcraft,thaumcraft.common.blocks.BlockTaintFibres,腐化草丛
Thaumcraft:blockCosmeticOpaque,241,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticOpaque,琥珀方块
Thaumcraft:blockCosmeticSolid,242,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticSolid,黑曜石图腾
Thaumcraft:blockCrystal,243,true,Thaumcraft,thaumcraft.common.blocks.BlockCrystal,风之魔晶
Thaumcraft:blockTube,244,true,Thaumcraft,thaumcraft.common.blocks.BlockTube,源质管道
Thaumcraft:blockMetalDevice,245,true,Thaumcraft,thaumcraft.common.blocks.BlockMetalDevice,坩埚
Thaumcraft:blockWoodenDevice,246,true,Thaumcraft,thaumcraft.common.blocks.BlockWoodenDevice,奥术风箱
Thaumcraft:blockStoneDevice,247,true,Thaumcraft,thaumcraft.common.blocks.BlockStoneDevice,炼金炉
Thaumcraft:blockMirror,248,true,Thaumcraft,thaumcraft.common.blocks.BlockMirror,魔镜
Thaumcraft:blockTable,249,true,Thaumcraft,thaumcraft.common.blocks.BlockTable,台桌
Thaumcraft:blockChestHungry,250,true,Thaumcraft,thaumcraft.common.blocks.BlockChestHungry,饕餮箱子
Thaumcraft:blockArcaneDoor,251,true,Thaumcraft,thaumcraft.common.blocks.BlockArcaneDoor,奥能之扉
Thaumcraft:blockLifter,252,true,Thaumcraft,thaumcraft.common.blocks.BlockLifter,奥术悬浮台
Thaumcraft:blockMagicBox,253,true,Thaumcraft,thaumcraft.common.blocks.BlockMagicBox,奥法之盒
Thaumcraft:blockAlchemyFurnace,254,true,Thaumcraft,thaumcraft.common.blocks.BlockAlchemyFurnace,荒古炼金炉
Thaumcraft:blockJar,255,true,Thaumcraft,thaumcraft.common.blocks.BlockJar,源质罐子
Thaumcraft:blockCandle,409,true,Thaumcraft,thaumcraft.common.blocks.BlockCandle,白色油脂蜡烛
Thaumcraft:blockEldritch,410,true,Thaumcraft,thaumcraft.common.blocks.BlockEldritch,邪术祭坛
Thaumcraft:blockAiry,411,true,Thaumcraft,makeo.gadomancy.common.blocks.BlockNode,灵气节点
Thaumcraft:blockManaPod,412,true,Thaumcraft,thaumcraft.common.blocks.BlockManaPod,法力荚茎
Thaumcraft:blockArcaneFurnace,413,true,Thaumcraft,thaumcraft.common.blocks.BlockArcaneFurnace,炼狱熔炉
Thaumcraft:blockWarded,414,true,Thaumcraft,thaumcraft.common.blocks.BlockWarded,守护方块
Thaumcraft:blockHole,415,true,Thaumcraft,thaumcraft.common.blocks.BlockHole,隙间
Thaumcraft:blockPortalEldritch,416,true,Thaumcraft,thaumcraft.common.blocks.BlockEldritchPortal,邪术传送门
Thaumcraft:blockEssentiaReservoir,423,true,Thaumcraft,thaumcraft.common.blocks.BlockEssentiaReservoir,源质库
Thaumcraft:blockEldritchNothing,424,true,Thaumcraft,thaumcraft.common.blocks.BlockEldritchNothing,传送门：无
Thaumcraft:blockStairsArcaneStone,425,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticStairs,奥术楼梯
Thaumcraft:blockStairsGreatwood,426,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticStairs,宏伟之木楼梯
Thaumcraft:blockStairsSilverwood,427,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticStairs,银树楼梯
Thaumcraft:blockStairsEldritch,428,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticStairs,荒古楼梯
Thaumcraft:blockCosmeticSlabWood,429,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticWoodSlab,宏伟之木台阶
Thaumcraft:blockCosmeticSlabStone,430,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticStoneSlab,奥术台阶
Thaumcraft:blockCosmeticDoubleSlabWood,431,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticWoodSlab,宏伟之木台阶
Thaumcraft:blockCosmeticDoubleSlabStone,432,true,Thaumcraft,thaumcraft.common.blocks.BlockCosmeticStoneSlab,奥术台阶
Thaumcraft:blockLootUrn,433,true,Thaumcraft,thaumcraft.common.blocks.BlockLoot,古旧之瓮
Thaumcraft:blockLootCrate,434,true,Thaumcraft,thaumcraft.common.blocks.BlockLoot,废弃箱子
BuildCraft|Core:eternalSpring,435,true,BuildCraft|Core,buildcraft.core.BlockSpring,水泉
BuildCraft|Core:buildToolBlock,436,true,BuildCraft|Core,buildcraft.core.BlockBuildTool,工具方块
BuildCraft|Core:engineBlock,437,true,BuildCraft|Core,buildcraft.core.BlockEngine,红石引擎
BuildCraft|Core:markerBlock,438,true,BuildCraft|Core,buildcraft.core.BlockMarker,地标
BuildCraft|Core:pathMarkerBlock,439,true,BuildCraft|Core,buildcraft.core.BlockPathMarker,路径标
ExtraUtilities:chestMini,440,true,ExtraUtilities,com.rwtema.extrautils.tileentity.chests.BlockMiniChest,迷你箱
ExtraUtilities:chestFull,441,true,ExtraUtilities,com.rwtema.extrautils.tileentity.chests.BlockFullChest,稍大的箱子
ExtraUtilities:enderCollector,442,true,ExtraUtilities,com.rwtema.extrautils.tileentity.endercollector.BlockEnderCollector,末影收集器
ExtraUtilities:endConstructor,443,true,ExtraUtilities,com.rwtema.extrautils.tileentity.enderconstructor.BlockEnderConstructor,QED(量子放射解码器Quantum Emission Decompiler)
ExtraUtilities:endMarker,444,true,ExtraUtilities,com.rwtema.extrautils.tileentity.enderquarry.BlockEnderMarkers,末影路标
ExtraUtilities:curtains,445,true,ExtraUtilities,com.rwtema.extrautils.block.BlockCurtain,黑幕布帘
ExtraUtilities:angelBlock,446,true,ExtraUtilities,com.rwtema.extrautils.block.BlockAngelBlock,天使方块
ExtraUtilities:budoff,447,true,ExtraUtilities,com.rwtema.extrautils.block.BlockBUD,方块更新检测器
ExtraUtilities:chandelier,448,true,ExtraUtilities,com.rwtema.extrautils.block.BlockChandelier,奢华吊顶灯
ExtraUtilities:decorativeBlock1,449,true,ExtraUtilities,com.rwtema.extrautils.block.BlockDecoration,镶边石砖
ExtraUtilities:decorativeBlock2,450,true,ExtraUtilities,com.rwtema.extrautils.block.BlockDecoration,增厚玻璃
ExtraUtilities:pureLove,451,true,ExtraUtilities,com.rwtema.extrautils.block.BlockPureLove,纯洁的爱
ExtraUtilities:block_bedrockium,452,true,ExtraUtilities,com.rwtema.extrautils.block.BlockBedrockium,基岩块
ExtraUtilities:datablock,453,true,ExtraUtilities,com.rwtema.extrautils.block.BlockColorData,数据块
ExtraUtilities:colorStoneBrick,454,true,ExtraUtilities,com.rwtema.extrautils.block.BlockColor,染色 石砖 (白色)
ExtraUtilities:colorWoodPlanks,455,true,ExtraUtilities,com.rwtema.extrautils.block.BlockColor,染色 橡木木板 (白色)
ExtraUtilities:color_lightgem,456,true,ExtraUtilities,com.rwtema.extrautils.block.BlockColor,染色 荧石 (白色)
